"AGE","AGE_ADJUSTED_CI_LOWER","AGE_ADJUSTED_CI_UPPER","AGE_ADJUSTED_RATE","COUNT","ICCC_GROUP","POPULATION","YEAR","SERIALID"
"0-19","null","null","null","null","VIII(e) Unspecified malignant bone tumors",71576680,"2000-04-01 00:00:00",212
"0-14","4.19999980926514","5.40000009536743","4.80000019073486","258","X Germ cell, trophoblastic tumors & neoplasms of gonads",53577590,"2000-04-01 00:00:00",213
"0-19","9.89999961853027","11.3999996185303","10.6000003814697","761","X Germ cell, trophoblastic tumors & neoplasms of gonads",71576680,"2000-04-01 00:00:00",214
"0-14","1.20000004768372","1.89999997615814","1.5","80","X(a) Intracranial & intraspinal germ cell tumors",53577590,"2000-04-01 00:00:00",215
"0-19","1.39999997615814","2","1.70000004768372","122","X(a) Intracranial & intraspinal germ cell tumors",71576680,"2000-04-01 00:00:00",216
"0-14","0.800000011920929","1.39999997615814","1.10000002384186","59","X(b) Malignant extracranial & extragonadal germ cell tumors",53577590,"2000-04-01 00:00:00",217
"0-19","1.10000002384186","1.70000004768372","1.39999997615814","100","X(b) Malignant extracranial & extragonadal germ cell tumors",71576680,"2000-04-01 00:00:00",218
"0-14","1.70000004768372","2.40000009536743","2","109","X(c) Malignant gonadal germ cell tumors",53577590,"2000-04-01 00:00:00",219
"0-19","6.19999980926514","7.40000009536743","6.80000019073486","488","X(c) Malignant gonadal germ cell tumors",71576680,"2000-04-01 00:00:00",220
"0-14","null","null","null","null","X(d) Gonadal carcinomas",53577590,"2000-04-01 00:00:00",221
"0-19","0.300000011920929","0.699999988079071","0.5","35","X(d) Gonadal carcinomas",71576680,"2000-04-01 00:00:00",222
"0-14","null","null","null","null","X(e) Other and unspecified malignant gonadal tumors",53577590,"2000-04-01 00:00:00",223
"0-19","0.100000001490116","0.400000005960464","0.200000002980232","16","X(e) Other and unspecified malignant gonadal tumors",71576680,"2000-04-01 00:00:00",224
"0-14","5.09999990463257","6.30000019073486","5.69999980926514","305","XI Other malignant epithelial neoplasms and malignant melanomas",53577590,"2000-04-01 00:00:00",225
"0-19","14.6999998092651","16.5","15.6000003814697","1116","XI Other malignant epithelial neoplasms and malignant melanomas",71576680,"2000-04-01 00:00:00",226
"0-14","0.200000002980232","0.5","0.300000011920929","16","XI(a) Adrenocortical carcinomas",53577590,"2000-04-01 00:00:00",227
"0-19","0.200000002980232","0.5","0.300000011920929","22","XI(a) Adrenocortical carcinomas",71576680,"2000-04-01 00:00:00",228
"0-14","1.5","2.29999995231628","1.89999997615814","100","XI(b) Thyroid carcinomas",53577590,"2000-04-01 00:00:00",229
"0-19","5.19999980926514","6.30000019073486","5.69999980926514","408","XI(b) Thyroid carcinomas",71576680,"2000-04-01 00:00:00",230
"0-14","0.200000002980232","0.5","0.300000011920929","18","XI(c) Nasopharyngeal carcinomas",53577590,"2000-04-01 00:00:00",231
"0-19","0.400000005960464","0.699999988079071","0.5","36","XI(c) Nasopharyngeal carcinomas",71576680,"2000-04-01 00:00:00",232
"0-14","1.29999995231628","2.09999990463257","1.70000004768372","90","XI(d) Malignant melanomas",53577590,"2000-04-01 00:00:00",233
"0-19","4.59999990463257","5.69999980926514","5.09999990463257","367","XI(d) Malignant melanomas",71576680,"2000-04-01 00:00:00",234
"0-14","null","null","null","null","XI(e) Skin carcinomas",53577590,"2000-04-01 00:00:00",235
"0-19","null","null","null","null","XI(e) Skin carcinomas",71576680,"2000-04-01 00:00:00",236
"0-14","1.10000002384186","1.79999995231628","1.5","78","XI(f) Other and unspecified carcinomas",53577590,"2000-04-01 00:00:00",237
"0-19","3.40000009536743","4.30000019073486","3.90000009536743","277","XI(f) Other and unspecified carcinomas",71576680,"2000-04-01 00:00:00",238
"0-14","0.600000023841858","1","0.800000011920929","41","XII Other and unspecified malignant neoplasms",53577590,"2000-04-01 00:00:00",239
"0-19","0.699999988079071","1.10000002384186","0.899999976158142","61","XII Other and unspecified malignant neoplasms",71576680,"2000-04-01 00:00:00",240
"0-14","null","null","null","null","XII(a) Other specified malignant tumors",53577590,"2000-04-01 00:00:00",241
"0-19","null","null","null","null","XII(a) Other specified malignant tumors",71576680,"2000-04-01 00:00:00",242
"0-14","0.300000011920929","0.800000011920929","0.5","28","XII(b) Other unspecified malignant tumors",53577590,"2000-04-01 00:00:00",243
"0-19","0.5","0.899999976158142","0.600000023841858","46","XII(b) Other unspecified malignant tumors",71576680,"2000-04-01 00:00:00",244
"0-14","153.300003051758","159.899993896484","156.600006103516","8745","All ICCC Groups Combined",55895109,"2001-04-01 00:00:00",245
"0-19","167.699996948242","173.699996948242","170.699996948242","12758","All ICCC Groups Combined",74755914,"2001-04-01 00:00:00",246
"0-14","49","52.7000007629395","50.7999992370605","2825","I Leukemias, myeloproliferative & myelodysplastic diseases",55895109,"2001-04-01 00:00:00",247
"0-19","44.2999992370605","47.4000015258789","45.7999992370605","3407","I Leukemias, myeloproliferative & myelodysplastic diseases",74755914,"2001-04-01 00:00:00",248
"0-14","37.2999992370605","40.5999984741211","38.9000015258789","2159","I(a) Lymphoid leukemias",55895109,"2001-04-01 00:00:00",249
"0-19","31.7999992370605","34.4000015258789","33.0999984741211","2455","I(a) Lymphoid leukemias",74755914,"2001-04-01 00:00:00",250
"0-14","6.69999980926514","8.10000038146973","7.40000009536743","412","I(b) Acute myeloid leukemias",55895109,"2001-04-01 00:00:00",251
"0-19","7.09999990463257","8.39999961853027","7.69999980926514","577","I(b) Acute myeloid leukemias",74755914,"2001-04-01 00:00:00",252
"0-14","1.29999995231628","2","1.60000002384186","93","I(c) Chronic myeloproliferative diseases",55895109,"2001-04-01 00:00:00",253
"0-19","1.89999997615814","2.59999990463257","2.20000004768372","166","I(c) Chronic myeloproliferative diseases",74755914,"2001-04-01 00:00:00",254
"0-14","1.29999995231628","2","1.70000004768372","93","I(d) Myelodysplastic syndrome and other myeloproliferative diseases",55895109,"2001-04-01 00:00:00",255
"0-19","1.20000004768372","1.79999995231628","1.5","113","I(d) Myelodysplastic syndrome and other myeloproliferative diseases",74755914,"2001-04-01 00:00:00",256
"0-14","0.899999976158142","1.5","1.20000004768372","68","I(e) Unspecified and other specified leukemias",55895109,"2001-04-01 00:00:00",257
"0-19","1","1.60000002384186","1.29999995231628","96","I(e) Unspecified and other specified leukemias",74755914,"2001-04-01 00:00:00",258
"0-14","15","17.1000003814697","16.1000003814697","902","II Lymphomas and reticuloendothelial neoplasms",55895109,"2001-04-01 00:00:00",259
"0-19","23.6000003814697","25.7999992370605","24.7000007629395","1851","II Lymphomas and reticuloendothelial neoplasms",74755914,"2001-04-01 00:00:00",260
"0-14","5.30000019073486","6.5","5.90000009536743","331","II(a) Hodgkin lymphomas",55895109,"2001-04-01 00:00:00",261
"0-19","11.8000001907349","13.3999996185303","12.6000003814697","943","II(a) Hodgkin lymphomas",74755914,"2001-04-01 00:00:00",262
"0-14","5.80000019073486","7.19999980926514","6.5","364","II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)",55895109,"2001-04-01 00:00:00",263
"0-19","8","9.30000019073486","8.69999980926514","649","II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)",74755914,"2001-04-01 00:00:00",264
"0-14","1.89999997615814","2.70000004768372","2.29999995231628","127","II(c) Burkitt lymphoma",55895109,"2001-04-01 00:00:00",265
"0-19","1.89999997615814","2.5","2.20000004768372","163","II(c) Burkitt lymphoma",74755914,"2001-04-01 00:00:00",266
"0-14","0.800000011920929","1.29999995231628","1","58","II(d) Miscellaneous lymphoreticular neoplasms",55895109,"2001-04-01 00:00:00",267
"0-19","0.600000023841858","1","0.800000011920929","60","II(d) Miscellaneous lymphoreticular neoplasms",74755914,"2001-04-01 00:00:00",268
"0-14","0.200000002980232","0.600000023841858","0.400000005960464","22","II(e) Unspecified lymphomas",55895109,"2001-04-01 00:00:00",269
"0-19","0.300000011920929","0.699999988079071","0.5","36","II(e) Unspecified lymphomas",74755914,"2001-04-01 00:00:00",270
"0-14","31.2000007629395","34.2000007629395","32.7000007629395","1823","III CNS and misc intracranial and intraspinal neoplasms",55895109,"2001-04-01 00:00:00",271
"0-19","28.7000007629395","31.2000007629395","29.8999996185303","2232","III CNS and misc intracranial and intraspinal neoplasms",74755914,"2001-04-01 00:00:00",272
"0-14","2.40000009536743","3.29999995231628","2.79999995231628","155","III(a) Ependymomas and choroid plexus tumor",55895109,"2001-04-01 00:00:00",273
"0-19","2.09999990463257","2.79999995231628","2.5","184","III(a) Ependymomas and choroid plexus tumor",74755914,"2001-04-01 00:00:00",274
"0-14","15.1000003814697","17.2000007629395","16.1000003814697","899","III(b) Astrocytomas",55895109,"2001-04-01 00:00:00",275
"0-19","14","15.6999998092651","14.8000001907349","1105","III(b) Astrocytomas",74755914,"2001-04-01 00:00:00",276
"0-14","6.59999990463257","8.10000038146973","7.30000019073486","408","III(c) Intracranial and intraspinal embryonal tumors",55895109,"2001-04-01 00:00:00",277
"0-19","6.09999990463257","7.19999980926514","6.59999990463257","494","III(c) Intracranial and intraspinal embryonal tumors",74755914,"2001-04-01 00:00:00",278
"0-14","4.80000019073486","6.09999990463257","5.40000009536743","304","III(d) Other gliomas",55895109,"2001-04-01 00:00:00",279
"0-19","4.59999990463257","5.59999990463257","5","377","III(d) Other gliomas",74755914,"2001-04-01 00:00:00",280
"0-14","0.5","0.899999976158142","0.699999988079071","37","III(e) Other specified intracranial & intraspinal neoplasms",55895109,"2001-04-01 00:00:00",281
"0-19","0.400000005960464","0.800000011920929","0.600000023841858","44","III(e) Other specified intracranial & intraspinal neoplasms",74755914,"2001-04-01 00:00:00",282
"0-14","0.200000002980232","0.600000023841858","0.400000005960464","20","III(f) Unspecified intracranial and intraspinal neoplasms",55895109,"2001-04-01 00:00:00",283
"0-19","0.200000002980232","0.5","0.400000005960464","28","III(f) Unspecified intracranial and intraspinal neoplasms",74755914,"2001-04-01 00:00:00",284
"0-14","10.8999996185303","12.6999998092651","11.8000001907349","658","IV Neuroblastoma and other peripheral nervous cell tumors",55895109,"2001-04-01 00:00:00",285
"0-19","8.30000019073486","9.69999980926514","9","671","IV Neuroblastoma and other peripheral nervous cell tumors",74755914,"2001-04-01 00:00:00",286
"0-14","10.8000001907349","12.6000003814697","11.6000003814697","651","IV(a) Neuroblastoma and ganglioneuroblastoma",55895109,"2001-04-01 00:00:00",287
"0-19","8.19999980926514","9.5","8.80000019073486","659","IV(a) Neuroblastoma and ganglioneuroblastoma",74755914,"2001-04-01 00:00:00",288
"0-14","null","null","null","null","IV(b) Other peripheral nervous cell tumors",55895109,"2001-04-01 00:00:00",289
"0-19","null","null","null","null","IV(b) Other peripheral nervous cell tumors",74755914,"2001-04-01 00:00:00",290
"0-14","9.60000038146973","11.3000001907349","10.3999996185303","582","IX Soft tissue and other extraosseous sarcomas",55895109,"2001-04-01 00:00:00",291
"0-19","11","12.6000003814697","11.8000001907349","881","IX Soft tissue and other extraosseous sarcomas",74755914,"2001-04-01 00:00:00",292
"0-14","4.5","5.69999980926514","5.09999990463257","283","IX(a) Rhabdomyosarcomas",55895109,"2001-04-01 00:00:00",293
"0-19","4.40000009536743","5.5","4.90000009536743","366","IX(a) Rhabdomyosarcomas",74755914,"2001-04-01 00:00:00",294
"0-14","1","1.60000002384186","1.29999995231628","72","IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams",55895109,"2001-04-01 00:00:00",295
"0-19","1.20000004768372","1.79999995231628","1.5","111","IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams",74755914,"2001-04-01 00:00:00",296
"0-14","null","null","null","null","IX(c) Kaposi sarcoma",55895109,"2001-04-01 00:00:00",297
"0-19","null","null","null","null","IX(c) Kaposi sarcoma",74755914,"2001-04-01 00:00:00",298
"0-14","2.59999990463257","3.5","3","170","IX(d) Other specified soft tissue sarcomas",55895109,"2001-04-01 00:00:00",299
"0-19","3.59999990463257","4.5","4","303","IX(d) Other specified soft tissue sarcomas",74755914,"2001-04-01 00:00:00",300
"0-14","0.800000011920929","1.29999995231628","1","57","IX(e) Unspecified soft tissue sarcomas",55895109,"2001-04-01 00:00:00",301
"0-19","1.10000002384186","1.60000002384186","1.29999995231628","98","IX(e) Unspecified soft tissue sarcomas",74755914,"2001-04-01 00:00:00",302
"0-14","null","null","null","null","Not classified by ICCC",55895109,"2001-04-01 00:00:00",303
"0-19","0.200000002980232","0.400000005960464","0.300000011920929","20","Not classified by ICCC",74755914,"2001-04-01 00:00:00",304
"0-14","3.79999995231628","5","4.40000009536743","245","V Retinoblastoma",55895109,"2001-04-01 00:00:00",305
"0-19","2.90000009536743","3.70000004768372","3.29999995231628","245","V Retinoblastoma",74755914,"2001-04-01 00:00:00",306
"0-14","7.80000019073486","9.30000019073486","8.5","473","VI Renal tumors",55895109,"2001-04-01 00:00:00",307
"0-19","6.09999990463257","7.30000019073486","6.69999980926514","498","VI Renal tumors",74755914,"2001-04-01 00:00:00",308
"0-14","7.40000009536743","8.89999961853027","8.19999980926514","452","VI(a) Nephroblastoma and other nonepithelial renal tumors",55895109,"2001-04-01 00:00:00",309
"0-19","5.59999990463257","6.69999980926514","6.09999990463257","455","VI(a) Nephroblastoma and other nonepithelial renal tumors",74755914,"2001-04-01 00:00:00",310
"0-14","0.200000002980232","0.5","0.300000011920929","19","VI(b) Renal carcinomas",55895109,"2001-04-01 00:00:00",311
"0-19","0.400000005960464","0.699999988079071","0.5","41","VI(b) Renal carcinomas",74755914,"2001-04-01 00:00:00",312
"0-14","null","null","null","null","VI(c) Unspecified malignant renal tumors",55895109,"2001-04-01 00:00:00",313
"0-19","null","null","null","null","VI(c) Unspecified malignant renal tumors",74755914,"2001-04-01 00:00:00",314
"0-14","1.70000004768372","2.5","2.09999990463257","118","VII Hepatic tumors",55895109,"2001-04-01 00:00:00",315
"0-19","1.5","2.09999990463257","1.79999995231628","135","VII Hepatic tumors",74755914,"2001-04-01 00:00:00",316
"0-14","1.39999997615814","2.09999990463257","1.70000004768372","95","VII(a) Hepatoblastoma",55895109,"2001-04-01 00:00:00",317
"0-19","1","1.60000002384186","1.29999995231628","96","VII(a) Hepatoblastoma",74755914,"2001-04-01 00:00:00",318
"0-14","0.200000002980232","0.600000023841858","0.400000005960464","22","VII(b) Hepatic carcinomas",55895109,"2001-04-01 00:00:00",319
"0-19","0.400000005960464","0.699999988079071","0.5","38","VII(b) Hepatic carcinomas",74755914,"2001-04-01 00:00:00",320
"0-14","null","null","null","null","VII(c) Unspecified malignant hepatic tumors",55895109,"2001-04-01 00:00:00",321
"0-19","null","null","null","null","VII(c) Unspecified malignant hepatic tumors",74755914,"2001-04-01 00:00:00",322
"0-14","6.30000019073486","7.69999980926514","7","394","VIII Malignant bone tumors",55895109,"2001-04-01 00:00:00",323
"0-19","8.80000019073486","10.1999998092651","9.5","714","VIII Malignant bone tumors",74755914,"2001-04-01 00:00:00",324
"0-14","3.29999995231628","4.30000019073486","3.79999995231628","214","VIII(a) Osteosarcomas",55895109,"2001-04-01 00:00:00",325
"0-19","4.59999990463257","5.69999980926514","5.09999990463257","385","VIII(a) Osteosarcomas",74755914,"2001-04-01 00:00:00",326
"0-14","null","null","null","null","VIII(b) Chondrosarcomas",55895109,"2001-04-01 00:00:00",327
"0-19","0.200000002980232","0.5","0.300000011920929","26","VIII(b) Chondrosarcomas",74755914,"2001-04-01 00:00:00",328
"0-14","2.29999995231628","3.20000004768372","2.70000004768372","153","VIII(c) Ewing tumor and related sarcomas of bone",55895109,"2001-04-01 00:00:00",329
"0-19","3.09999990463257","3.90000009536743","3.5","260","VIII(c) Ewing tumor and related sarcomas of bone",74755914,"2001-04-01 00:00:00",330
"0-14","null","null","null","null","VIII(d) Other specified malignant bone tumors",55895109,"2001-04-01 00:00:00",331
"0-19","0.300000011920929","0.600000023841858","0.400000005960464","32","VIII(d) Other specified malignant bone tumors",74755914,"2001-04-01 00:00:00",332
"0-14","null","null","null","null","VIII(e) Unspecified malignant bone tumors",55895109,"2001-04-01 00:00:00",333
"0-19","null","null","null","null","VIII(e) Unspecified malignant bone tumors",74755914,"2001-04-01 00:00:00",334
"0-14","4.5","5.69999980926514","5.09999990463257","287","X Germ cell, trophoblastic tumors & neoplasms of gonads",55895109,"2001-04-01 00:00:00",335
"0-19","9.80000019073486","11.1999998092651","10.5","788","X Germ cell, trophoblastic tumors & neoplasms of gonads",74755914,"2001-04-01 00:00:00",336
"0-14","1","1.60000002384186","1.29999995231628","73","X(a) Intracranial & intraspinal germ cell tumors",55895109,"2001-04-01 00:00:00",337
"0-19","1.29999995231628","1.89999997615814","1.60000002384186","121","X(a) Intracranial & intraspinal germ cell tumors",74755914,"2001-04-01 00:00:00",338
"0-14","1.10000002384186","1.79999995231628","1.39999997615814","80","X(b) Malignant extracranial & extragonadal germ cell tumors",55895109,"2001-04-01 00:00:00",339
"0-19","1.29999995231628","1.89999997615814","1.60000002384186","121","X(b) Malignant extracranial & extragonadal germ cell tumors",74755914,"2001-04-01 00:00:00",340
"0-14","1.70000004768372","2.5","2.09999990463257","116","X(c) Malignant gonadal germ cell tumors",55895109,"2001-04-01 00:00:00",341
"0-19","6.09999990463257","7.19999980926514","6.59999990463257","498","X(c) Malignant gonadal germ cell tumors",74755914,"2001-04-01 00:00:00",342
"0-14","null","null","null","null","X(d) Gonadal carcinomas",55895109,"2001-04-01 00:00:00",343
"0-19","0.200000002980232","0.5","0.300000011920929","25","X(d) Gonadal carcinomas",74755914,"2001-04-01 00:00:00",344
"0-14","null","null","null","null","X(e) Other and unspecified malignant gonadal tumors",55895109,"2001-04-01 00:00:00",345
"0-19","0.200000002980232","0.5","0.300000011920929","23","X(e) Other and unspecified malignant gonadal tumors",74755914,"2001-04-01 00:00:00",346
"0-14","6.09999990463257","7.5","6.80000019073486","384","XI Other malignant epithelial neoplasms and malignant melanomas",55895109,"2001-04-01 00:00:00",347
"0-19","15.6999998092651","17.6000003814697","16.6000003814697","1250","XI Other malignant epithelial neoplasms and malignant melanomas",74755914,"2001-04-01 00:00:00",348
"0-14","null","null","null","null","XI(a) Adrenocortical carcinomas",55895109,"2001-04-01 00:00:00",349
"0-19","0.100000001490116","0.300000011920929","0.200000002980232","16","XI(a) Adrenocortical carcinomas",74755914,"2001-04-01 00:00:00",350
"0-14","1.89999997615814","2.79999995231628","2.29999995231628","132","XI(b) Thyroid carcinomas",55895109,"2001-04-01 00:00:00",351
"0-19","5.30000019073486","6.40000009536743","5.80000019073486","438","XI(b) Thyroid carcinomas",74755914,"2001-04-01 00:00:00",352
"0-14","0.200000002980232","0.5","0.300000011920929","18","XI(c) Nasopharyngeal carcinomas",55895109,"2001-04-01 00:00:00",353
"0-19","0.400000005960464","0.800000011920929","0.600000023841858","43","XI(c) Nasopharyngeal carcinomas",74755914,"2001-04-01 00:00:00",354
"0-14","1.70000004768372","2.5","2.09999990463257","118","XI(d) Malignant melanomas",55895109,"2001-04-01 00:00:00",355
"0-19","5.30000019073486","6.40000009536743","5.90000009536743","441","XI(d) Malignant melanomas",74755914,"2001-04-01 00:00:00",356
"0-14","null","null","null","null","XI(e) Skin carcinomas",55895109,"2001-04-01 00:00:00",357
"0-19","null","null","null","null","XI(e) Skin carcinomas",74755914,"2001-04-01 00:00:00",358
"0-14","1.39999997615814","2.09999990463257","1.70000004768372","98","XI(f) Other and unspecified carcinomas",55895109,"2001-04-01 00:00:00",359
"0-19","3.59999990463257","4.59999990463257","4.09999990463257","307","XI(f) Other and unspecified carcinomas",74755914,"2001-04-01 00:00:00",360
"0-14","0.5","1","0.699999988079071","40","XII Other and unspecified malignant neoplasms",55895109,"2001-04-01 00:00:00",361
"0-19","0.699999988079071","1.10000002384186","0.899999976158142","66","XII Other and unspecified malignant neoplasms",74755914,"2001-04-01 00:00:00",362
"0-14","0.200000002980232","0.600000023841858","0.400000005960464","21","XII(a) Other specified malignant tumors",55895109,"2001-04-01 00:00:00",363
"0-19","0.300000011920929","0.600000023841858","0.400000005960464","29","XII(a) Other specified malignant tumors",74755914,"2001-04-01 00:00:00",364
"0-14","0.200000002980232","0.5","0.300000011920929","19","XII(b) Other unspecified malignant tumors",55895109,"2001-04-01 00:00:00",365
"0-19","0.300000011920929","0.699999988079071","0.5","37","XII(b) Other unspecified malignant tumors",74755914,"2001-04-01 00:00:00",366
"0-14","152.600006103516","159.199996948242","155.800003051758","8658","All ICCC Groups Combined",55565102,"2002-04-01 00:00:00",367
"0-19","168.300003051758","174.300003051758","171.300003051758","12757","All ICCC Groups Combined",74436080,"2002-04-01 00:00:00",368
"0-14","48","51.7999992370605","49.9000015258789","2759","I Leukemias, myeloproliferative & myelodysplastic diseases",55565102,"2002-04-01 00:00:00",369
"0-19","43.7000007629395","46.7000007629395","45.2000007629395","3349","I Leukemias, myeloproliferative & myelodysplastic diseases",74436080,"2002-04-01 00:00:00",370
"0-14","35.9000015258789","39.2000007629395","37.5","2070","I(a) Lymphoid leukemias",55565102,"2002-04-01 00:00:00",371
"0-19","30.8999996185303","33.5","32.2000007629395","2382","I(a) Lymphoid leukemias",74436080,"2002-04-01 00:00:00",372
"0-14","7.19999980926514","8.60000038146973","7.90000009536743","439","I(b) Acute myeloid leukemias",55565102,"2002-04-01 00:00:00",373
"0-19","7.59999990463257","8.89999961853027","8.19999980926514","611","I(b) Acute myeloid leukemias",74436080,"2002-04-01 00:00:00",374
"0-14","1.29999995231628","2","1.60000002384186","89","I(c) Chronic myeloproliferative diseases",55565102,"2002-04-01 00:00:00",375
"0-19","1.79999995231628","2.40000009536743","2.09999990463257","156","I(c) Chronic myeloproliferative diseases",74436080,"2002-04-01 00:00:00",376
"0-14","1.29999995231628","2","1.70000004768372","92","I(d) Myelodysplastic syndrome and other myeloproliferative diseases",55565102,"2002-04-01 00:00:00",377
"0-19","1.29999995231628","1.89999997615814","1.5","115","I(d) Myelodysplastic syndrome and other myeloproliferative diseases",74436080,"2002-04-01 00:00:00",378
"0-14","1","1.60000002384186","1.20000004768372","69","I(e) Unspecified and other specified leukemias",55565102,"2002-04-01 00:00:00",379
"0-19","0.899999976158142","1.39999997615814","1.10000002384186","85","I(e) Unspecified and other specified leukemias",74436080,"2002-04-01 00:00:00",380
"0-14","14.6999998092651","16.7999992370605","15.8000001907349","883","II Lymphomas and reticuloendothelial neoplasms",55565102,"2002-04-01 00:00:00",381
"0-19","23.3999996185303","25.6000003814697","24.5","1834","II Lymphomas and reticuloendothelial neoplasms",74436080,"2002-04-01 00:00:00",382
"0-14","4.80000019073486","6.09999990463257","5.40000009536743","306","II(a) Hodgkin lymphomas",55565102,"2002-04-01 00:00:00",383
"0-19","11.3999996185303","13","12.1999998092651","919","II(a) Hodgkin lymphomas",74436080,"2002-04-01 00:00:00",384
"0-14","5.59999990463257","6.90000009536743","6.19999980926514","347","II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)",55565102,"2002-04-01 00:00:00",385
"0-19","7.69999980926514","9","8.30000019073486","621","II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)",74436080,"2002-04-01 00:00:00",386
"0-14","2.29999995231628","3.20000004768372","2.79999995231628","153","II(c) Burkitt lymphoma",55565102,"2002-04-01 00:00:00",387
"0-19","2.40000009536743","3.09999990463257","2.70000004768372","202","II(c) Burkitt lymphoma",74436080,"2002-04-01 00:00:00",388
"0-14","0.899999976158142","1.5","1.20000004768372","65","II(d) Miscellaneous lymphoreticular neoplasms",55565102,"2002-04-01 00:00:00",389
"0-19","0.699999988079071","1.10000002384186","0.899999976158142","66","II(d) Miscellaneous lymphoreticular neoplasms",74436080,"2002-04-01 00:00:00",390
"0-14","null","null","null","null","II(e) Unspecified lymphomas",55565102,"2002-04-01 00:00:00",391
"0-19","0.200000002980232","0.5","0.300000011920929","26","II(e) Unspecified lymphomas",74436080,"2002-04-01 00:00:00",392
"0-14","32.9000015258789","36","34.4000015258789","1907","III CNS and misc intracranial and intraspinal neoplasms",55565102,"2002-04-01 00:00:00",393
