"AGE","AGE_SPECIFIC_CI_LOWER","AGE_SPECIFIC_CI_UPPER","AGE_SPECIFIC_RATE","COUNT","ICCC_GROUP","POPULATION","YEAR","SERIALID"
"5-9","null","null","null","null","VIII(d) Other specified malignant bone tumors",17879968,"1999-04-01 00:00:00",220
"<1","null","null","null","null","VIII(d) Other specified malignant bone tumors",3280395,"1999-04-01 00:00:00",221
"10-14","null","null","null","null","VIII(e) Unspecified malignant bone tumors",17507634,"1999-04-01 00:00:00",222
"15-19","null","null","null","null","VIII(e) Unspecified malignant bone tumors",17355940,"1999-04-01 00:00:00",223
"5-9","null","null","null","null","VIII(e) Unspecified malignant bone tumors",17879968,"1999-04-01 00:00:00",224
"<1","null","null","null","null","VIII(e) Unspecified malignant bone tumors",3280395,"1999-04-01 00:00:00",225
"1-4","2.5","4.59999990463257","3.5","46","X Germ cell, trophoblastic tumors & neoplasms of gonads",13297303,"1999-04-01 00:00:00",226
"10-14","5.59999990463257","8.10000038146973","6.69999980926514","118","X Germ cell, trophoblastic tumors & neoplasms of gonads",17507634,"1999-04-01 00:00:00",227
"15-19","23.6000003814697","28.5","26","451","X Germ cell, trophoblastic tumors & neoplasms of gonads",17355940,"1999-04-01 00:00:00",228
"5-9","1","2.29999995231628","1.60000002384186","28","X Germ cell, trophoblastic tumors & neoplasms of gonads",17879968,"1999-04-01 00:00:00",229
"<1","14.8000001907349","24.6000003814697","19.2000007629395","63","X Germ cell, trophoblastic tumors & neoplasms of gonads",3280395,"1999-04-01 00:00:00",230
"1-4","null","null","null","null","X(a) Intracranial & intraspinal germ cell tumors",13297303,"1999-04-01 00:00:00",231
"10-14","1.89999997615814","3.40000009536743","2.59999990463257","45","X(a) Intracranial & intraspinal germ cell tumors",17507634,"1999-04-01 00:00:00",232
"15-19","1.10000002384186","2.29999995231628","1.60000002384186","28","X(a) Intracranial & intraspinal germ cell tumors",17355940,"1999-04-01 00:00:00",233
"5-9","null","null","null","null","X(a) Intracranial & intraspinal germ cell tumors",17879968,"1999-04-01 00:00:00",234
"<1","null","null","null","null","X(a) Intracranial & intraspinal germ cell tumors",3280395,"1999-04-01 00:00:00",235
"1-4","0.800000011920929","2.09999990463257","1.39999997615814","18","X(b) Malignant extracranial & extragonadal germ cell tumors",13297303,"1999-04-01 00:00:00",236
"10-14","null","null","null","null","X(b) Malignant extracranial & extragonadal germ cell tumors",17507634,"1999-04-01 00:00:00",237
"15-19","0.899999976158142","2.09999990463257","1.39999997615814","25","X(b) Malignant extracranial & extragonadal germ cell tumors",17355940,"1999-04-01 00:00:00",238
"5-9","null","null","null","null","X(b) Malignant extracranial & extragonadal germ cell tumors",17879968,"1999-04-01 00:00:00",239
"<1","8.69999980926514","16.6000003814697","12.1999998092651","40","X(b) Malignant extracranial & extragonadal germ cell tumors",3280395,"1999-04-01 00:00:00",240
"1-4","1","2.40000009536743","1.60000002384186","21","X(c) Malignant gonadal germ cell tumors",13297303,"1999-04-01 00:00:00",241
"10-14","2.29999995231628","4","3.09999990463257","54","X(c) Malignant gonadal germ cell tumors",17507634,"1999-04-01 00:00:00",242
"15-19","18.7999992370605","23.2000007629395","20.8999996185303","363","X(c) Malignant gonadal germ cell tumors",17355940,"1999-04-01 00:00:00",243
"5-9","null","null","null","null","X(c) Malignant gonadal germ cell tumors",17879968,"1999-04-01 00:00:00",244
"<1","3.5","9","5.80000019073486","19","X(c) Malignant gonadal germ cell tumors",3280395,"1999-04-01 00:00:00",245
"1-4","null","null","null","null","X(d) Gonadal carcinomas",13297303,"1999-04-01 00:00:00",246
"10-14","null","null","null","null","X(d) Gonadal carcinomas",17507634,"1999-04-01 00:00:00",247
"15-19","0.899999976158142","2.09999990463257","1.39999997615814","25","X(d) Gonadal carcinomas",17355940,"1999-04-01 00:00:00",248
"5-9","null","null","null","null","X(d) Gonadal carcinomas",17879968,"1999-04-01 00:00:00",249
"<1","null","null","null","null","X(d) Gonadal carcinomas",3280395,"1999-04-01 00:00:00",250
"1-4","null","null","null","null","X(e) Other and unspecified malignant gonadal tumors",13297303,"1999-04-01 00:00:00",251
"10-14","null","null","null","null","X(e) Other and unspecified malignant gonadal tumors",17507634,"1999-04-01 00:00:00",252
"15-19","null","null","null","null","X(e) Other and unspecified malignant gonadal tumors",17355940,"1999-04-01 00:00:00",253
"5-9","null","null","null","null","X(e) Other and unspecified malignant gonadal tumors",17879968,"1999-04-01 00:00:00",254
"<1","null","null","null","null","X(e) Other and unspecified malignant gonadal tumors",3280395,"1999-04-01 00:00:00",255
"1-4","0.699999988079071","2","1.20000004768372","16","XI Other malignant epithelial neoplasms and malignant melanomas",13297303,"1999-04-01 00:00:00",256
"10-14","10.8999996185303","14.1999998092651","12.5","218","XI Other malignant epithelial neoplasms and malignant melanomas",17507634,"1999-04-01 00:00:00",257
"15-19","41.2000007629395","47.5","44.2000007629395","768","XI Other malignant epithelial neoplasms and malignant melanomas",17355940,"1999-04-01 00:00:00",258
"5-9","2.29999995231628","4","3.09999990463257","55","XI Other malignant epithelial neoplasms and malignant melanomas",17879968,"1999-04-01 00:00:00",259
"<1","3.29999995231628","8.69999980926514","5.5","18","XI Other malignant epithelial neoplasms and malignant melanomas",3280395,"1999-04-01 00:00:00",260
"1-4","null","null","null","null","XI(a) Adrenocortical carcinomas",13297303,"1999-04-01 00:00:00",261
"10-14","null","null","null","null","XI(a) Adrenocortical carcinomas",17507634,"1999-04-01 00:00:00",262
"15-19","null","null","null","null","XI(a) Adrenocortical carcinomas",17355940,"1999-04-01 00:00:00",263
"5-9","null","null","null","null","XI(a) Adrenocortical carcinomas",17879968,"1999-04-01 00:00:00",264
"<1","null","null","null","null","XI(a) Adrenocortical carcinomas",3280395,"1999-04-01 00:00:00",265
"1-4","null","null","null","null","XI(b) Thyroid carcinomas",13297303,"1999-04-01 00:00:00",266
"10-14","2.90000009536743","4.80000019073486","3.79999995231628","66","XI(b) Thyroid carcinomas",17507634,"1999-04-01 00:00:00",267
"15-19","15.8999996185303","19.8999996185303","17.7999992370605","309","XI(b) Thyroid carcinomas",17355940,"1999-04-01 00:00:00",268
"5-9","1.10000002384186","2.29999995231628","1.60000002384186","29","XI(b) Thyroid carcinomas",17879968,"1999-04-01 00:00:00",269
"<1","null","null","null","null","XI(b) Thyroid carcinomas",3280395,"1999-04-01 00:00:00",270
"1-4","null","null","null","null","XI(c) Nasopharyngeal carcinomas",13297303,"1999-04-01 00:00:00",271
"10-14","0.600000023841858","1.60000002384186","1","18","XI(c) Nasopharyngeal carcinomas",17507634,"1999-04-01 00:00:00",272
"15-19","0.600000023841858","1.60000002384186","1","18","XI(c) Nasopharyngeal carcinomas",17355940,"1999-04-01 00:00:00",273
"5-9","null","null","null","null","XI(c) Nasopharyngeal carcinomas",17879968,"1999-04-01 00:00:00",274
"<1","null","null","null","null","XI(c) Nasopharyngeal carcinomas",3280395,"1999-04-01 00:00:00",275
"1-4","null","null","null","null","XI(d) Malignant melanomas",13297303,"1999-04-01 00:00:00",276
"10-14","2.79999995231628","4.69999980926514","3.70000004768372","64","XI(d) Malignant melanomas",17507634,"1999-04-01 00:00:00",277
"15-19","12.5","16.1000003814697","14.1999998092651","246","XI(d) Malignant melanomas",17355940,"1999-04-01 00:00:00",278
"5-9","null","null","null","null","XI(d) Malignant melanomas",17879968,"1999-04-01 00:00:00",279
"<1","null","null","null","null","XI(d) Malignant melanomas",3280395,"1999-04-01 00:00:00",280
"1-4","null","null","null","null","XI(e) Skin carcinomas",13297303,"1999-04-01 00:00:00",281
"10-14","null","null","null","null","XI(e) Skin carcinomas",17507634,"1999-04-01 00:00:00",282
"15-19","null","null","null","null","XI(e) Skin carcinomas",17355940,"1999-04-01 00:00:00",283
"5-9","null","null","null","null","XI(e) Skin carcinomas",17879968,"1999-04-01 00:00:00",284
"<1","null","null","null","null","XI(e) Skin carcinomas",3280395,"1999-04-01 00:00:00",285
"1-4","null","null","null","null","XI(f) Other and unspecified carcinomas",13297303,"1999-04-01 00:00:00",286
"10-14","2.59999990463257","4.30000019073486","3.40000009536743","59","XI(f) Other and unspecified carcinomas",17507634,"1999-04-01 00:00:00",287
"15-19","9.30000019073486","12.5","10.8000001907349","188","XI(f) Other and unspecified carcinomas",17355940,"1999-04-01 00:00:00",288
"5-9","null","null","null","null","XI(f) Other and unspecified carcinomas",17879968,"1999-04-01 00:00:00",289
"<1","null","null","null","null","XI(f) Other and unspecified carcinomas",3280395,"1999-04-01 00:00:00",290
"1-4","null","null","null","null","XII Other and unspecified malignant neoplasms",13297303,"1999-04-01 00:00:00",291
"10-14","null","null","null","null","XII Other and unspecified malignant neoplasms",17507634,"1999-04-01 00:00:00",292
"15-19","1.20000004768372","2.5","1.79999995231628","31","XII Other and unspecified malignant neoplasms",17355940,"1999-04-01 00:00:00",293
"5-9","null","null","null","null","XII Other and unspecified malignant neoplasms",17879968,"1999-04-01 00:00:00",294
"<1","null","null","null","null","XII Other and unspecified malignant neoplasms",3280395,"1999-04-01 00:00:00",295
"1-4","null","null","null","null","XII(a) Other specified malignant tumors",13297303,"1999-04-01 00:00:00",296
"10-14","null","null","null","null","XII(a) Other specified malignant tumors",17507634,"1999-04-01 00:00:00",297
"15-19","null","null","null","null","XII(a) Other specified malignant tumors",17355940,"1999-04-01 00:00:00",298
"5-9","null","null","null","null","XII(a) Other specified malignant tumors",17879968,"1999-04-01 00:00:00",299
"<1","null","null","null","null","XII(a) Other specified malignant tumors",3280395,"1999-04-01 00:00:00",300
"1-4","null","null","null","null","XII(b) Other unspecified malignant tumors",13297303,"1999-04-01 00:00:00",301
"10-14","null","null","null","null","XII(b) Other unspecified malignant tumors",17507634,"1999-04-01 00:00:00",302
"15-19","1","2.20000004768372","1.5","26","XII(b) Other unspecified malignant tumors",17355940,"1999-04-01 00:00:00",303
"5-9","null","null","null","null","XII(b) Other unspecified malignant tumors",17879968,"1999-04-01 00:00:00",304
"<1","null","null","null","null","XII(b) Other unspecified malignant tumors",3280395,"1999-04-01 00:00:00",305
"1-4","197.600006103516","212.899993896484","205.100006103516","2793","All ICCC Groups Combined",13615288,"2000-04-01 00:00:00",306
"10-14","118.800003051758","129.100006103516","123.800003051758","2271","All ICCC Groups Combined",18336708,"2000-04-01 00:00:00",307
"15-19","199.699996948242","213","206.199996948242","3712","All ICCC Groups Combined",17999090,"2000-04-01 00:00:00",308
"5-9","111.300003051758","121.199996948242","116.199996948242","2115","All ICCC Groups Combined",18205547,"2000-04-01 00:00:00",309
"<1","221.699996948242","254.600006103516","237.699996948242","813","All ICCC Groups Combined",3420047,"2000-04-01 00:00:00",310
"1-4","79.3000030517578","89.0999984741211","84.0999984741211","1145","I Leukemias, myeloproliferative & myelodysplastic diseases",13615288,"2000-04-01 00:00:00",311
"10-14","22.6000003814697","27.2999992370605","24.8999996185303","456","I Leukemias, myeloproliferative & myelodysplastic diseases",18336708,"2000-04-01 00:00:00",312
"15-19","25.1000003814697","30","27.5","495","I Leukemias, myeloproliferative & myelodysplastic diseases",17999090,"2000-04-01 00:00:00",313
"5-9","35.4000015258789","41.0999984741211","38.2000007629395","695","I Leukemias, myeloproliferative & myelodysplastic diseases",18205547,"2000-04-01 00:00:00",314
"<1","40.5999984741211","55.5999984741211","47.7000007629395","163","I Leukemias, myeloproliferative & myelodysplastic diseases",3420047,"2000-04-01 00:00:00",315
"1-4","67.5","76.5999984741211","71.9000015258789","979","I(a) Lymphoid leukemias",13615288,"2000-04-01 00:00:00",316
"10-14","16.1000003814697","20","17.8999996185303","329","I(a) Lymphoid leukemias",18336708,"2000-04-01 00:00:00",317
"15-19","14.3999996185303","18.1000003814697","16.2000007629395","291","I(a) Lymphoid leukemias",17999090,"2000-04-01 00:00:00",318
"5-9","29.7000007629395","35","32.2000007629395","587","I(a) Lymphoid leukemias",18205547,"2000-04-01 00:00:00",319
"<1","19.6000003814697","30.3999996185303","24.6000003814697","84","I(a) Lymphoid leukemias",3420047,"2000-04-01 00:00:00",320
"1-4","8","11.3999996185303","9.60000038146973","131","I(b) Acute myeloid leukemias",13615288,"2000-04-01 00:00:00",321
"10-14","4","6.09999990463257","5","91","I(b) Acute myeloid leukemias",18336708,"2000-04-01 00:00:00",322
"15-19","7.30000019073486","10.1000003814697","8.60000038146973","155","I(b) Acute myeloid leukemias",17999090,"2000-04-01 00:00:00",323
"5-9","3.40000009536743","5.30000019073486","4.30000019073486","78","I(b) Acute myeloid leukemias",18205547,"2000-04-01 00:00:00",324
"<1","12.3999996185303","21.2999992370605","16.3999996185303","56","I(b) Acute myeloid leukemias",3420047,"2000-04-01 00:00:00",325
"1-4","null","null","null","null","I(c) Chronic myeloproliferative diseases",13615288,"2000-04-01 00:00:00",326
"10-14","0.699999988079071","1.79999995231628","1.10000002384186","21","I(c) Chronic myeloproliferative diseases",18336708,"2000-04-01 00:00:00",327
"15-19","0.899999976158142","2","1.29999995231628","24","I(c) Chronic myeloproliferative diseases",17999090,"2000-04-01 00:00:00",328
"5-9","null","null","null","null","I(c) Chronic myeloproliferative diseases",18205547,"2000-04-01 00:00:00",329
"<1","null","null","null","null","I(c) Chronic myeloproliferative diseases",3420047,"2000-04-01 00:00:00",330
"1-4","null","null","null","null","I(d) Myelodysplastic syndrome and other myeloproliferative diseases",13615288,"2000-04-01 00:00:00",331
"10-14","null","null","null","null","I(d) Myelodysplastic syndrome and other myeloproliferative diseases",18336708,"2000-04-01 00:00:00",332
"15-19","null","null","null","null","I(d) Myelodysplastic syndrome and other myeloproliferative diseases",17999090,"2000-04-01 00:00:00",333
"5-9","null","null","null","null","I(d) Myelodysplastic syndrome and other myeloproliferative diseases",18205547,"2000-04-01 00:00:00",334
"<1","null","null","null","null","I(d) Myelodysplastic syndrome and other myeloproliferative diseases",3420047,"2000-04-01 00:00:00",335
"1-4","1.10000002384186","2.59999990463257","1.79999995231628","24","I(e) Unspecified and other specified leukemias",13615288,"2000-04-01 00:00:00",336
"10-14","null","null","null","null","I(e) Unspecified and other specified leukemias",18336708,"2000-04-01 00:00:00",337
"15-19","0.800000011920929","1.89999997615814","1.29999995231628","23","I(e) Unspecified and other specified leukemias",17999090,"2000-04-01 00:00:00",338
"5-9","0.699999988079071","1.70000004768372","1.10000002384186","20","I(e) Unspecified and other specified leukemias",18205547,"2000-04-01 00:00:00",339
"<1","2.70000004768372","7.59999990463257","4.69999980926514","16","I(e) Unspecified and other specified leukemias",3420047,"2000-04-01 00:00:00",340
"1-4","7.59999990463257","10.8999996185303","9.19999980926514","125","II Lymphomas and reticuloendothelial neoplasms",13615288,"2000-04-01 00:00:00",341
"10-14","22.3999996185303","27","24.7000007629395","452","II Lymphomas and reticuloendothelial neoplasms",18336708,"2000-04-01 00:00:00",342
"15-19","46.4000015258789","52.9000015258789","49.5999984741211","892","II Lymphomas and reticuloendothelial neoplasms",17999090,"2000-04-01 00:00:00",343
"5-9","13.1999998092651","16.7999992370605","14.8999996185303","271","II Lymphomas and reticuloendothelial neoplasms",18205547,"2000-04-01 00:00:00",344
"<1","6.90000009536743","13.8999996185303","9.89999961853027","34","II Lymphomas and reticuloendothelial neoplasms",3420047,"2000-04-01 00:00:00",345
"1-4","0.699999988079071","1.89999997615814","1.20000004768372","16","II(a) Hodgkin lymphomas",13615288,"2000-04-01 00:00:00",346
"10-14","11.1999998092651","14.5","12.8000001907349","234","II(a) Hodgkin lymphomas",18336708,"2000-04-01 00:00:00",347
"15-19","28.8999996185303","34.0999984741211","31.3999996185303","566","II(a) Hodgkin lymphomas",17999090,"2000-04-01 00:00:00",348
"5-9","2.90000009536743","4.69999980926514","3.70000004768372","68","II(a) Hodgkin lymphomas",18205547,"2000-04-01 00:00:00",349
"<1","null","null","null","null","II(a) Hodgkin lymphomas",3420047,"2000-04-01 00:00:00",350
"1-4","2.59999990463257","4.69999980926514","3.5","48","II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)",13615288,"2000-04-01 00:00:00",351
"10-14","7.09999990463257","9.80000019073486","8.30000019073486","153","II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)",18336708,"2000-04-01 00:00:00",352
"15-19","13","16.6000003814697","14.6999998092651","265","II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)",17999090,"2000-04-01 00:00:00",353
"5-9","5","7.30000019073486","6","110","II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)",18205547,"2000-04-01 00:00:00",354
"<1","null","null","null","null","II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)",3420047,"2000-04-01 00:00:00",355
"1-4","1.29999995231628","2.90000009536743","2","27","II(c) Burkitt lymphoma",13615288,"2000-04-01 00:00:00",356
"10-14","2","3.59999990463257","2.70000004768372","50","II(c) Burkitt lymphoma",18336708,"2000-04-01 00:00:00",357
"15-19","1.79999995231628","3.29999995231628","2.40000009536743","44","II(c) Burkitt lymphoma",17999090,"2000-04-01 00:00:00",358
"5-9","2.90000009536743","4.69999980926514","3.70000004768372","67","II(c) Burkitt lymphoma",18205547,"2000-04-01 00:00:00",359
"<1","null","null","null","null","II(c) Burkitt lymphoma",3420047,"2000-04-01 00:00:00",360
"1-4","1.29999995231628","2.90000009536743","2","27","II(d) Miscellaneous lymphoreticular neoplasms",13615288,"2000-04-01 00:00:00",361
"10-14","null","null","null","null","II(d) Miscellaneous lymphoreticular neoplasms",18336708,"2000-04-01 00:00:00",362
"15-19","null","null","null","null","II(d) Miscellaneous lymphoreticular neoplasms",17999090,"2000-04-01 00:00:00",363
"5-9","null","null","null","null","II(d) Miscellaneous lymphoreticular neoplasms",18205547,"2000-04-01 00:00:00",364
"<1","4.30000019073486","10.1000003814697","6.69999980926514","23","II(d) Miscellaneous lymphoreticular neoplasms",3420047,"2000-04-01 00:00:00",365
"1-4","null","null","null","null","II(e) Unspecified lymphomas",13615288,"2000-04-01 00:00:00",366
"10-14","null","null","null","null","II(e) Unspecified lymphomas",18336708,"2000-04-01 00:00:00",367
"15-19","null","null","null","null","II(e) Unspecified lymphomas",17999090,"2000-04-01 00:00:00",368
"5-9","0.600000023841858","1.60000002384186","1","18","II(e) Unspecified lymphomas",18205547,"2000-04-01 00:00:00",369
"<1","null","null","null","null","II(e) Unspecified lymphomas",3420047,"2000-04-01 00:00:00",370
"1-4","36","42.7000007629395","39.2000007629395","534","III CNS and misc intracranial and intraspinal neoplasms",13615288,"2000-04-01 00:00:00",371
"10-14","25","29.7999992370605","27.2999992370605","501","III CNS and misc intracranial and intraspinal neoplasms",18336708,"2000-04-01 00:00:00",372
"15-19","19.7000007629395","24.1000003814697","21.7999992370605","393","III CNS and misc intracranial and intraspinal neoplasms",17999090,"2000-04-01 00:00:00",373
"5-9","31","36.4000015258789","33.5999984741211","612","III CNS and misc intracranial and intraspinal neoplasms",18205547,"2000-04-01 00:00:00",374
"<1","27","39.4000015258789","32.7000007629395","112","III CNS and misc intracranial and intraspinal neoplasms",3420047,"2000-04-01 00:00:00",375
"1-4","3.90000009536743","6.30000019073486","5","68","III(a) Ependymomas and choroid plexus tumor",13615288,"2000-04-01 00:00:00",376
"10-14","1","2.09999990463257","1.5","27","III(a) Ependymomas and choroid plexus tumor",18336708,"2000-04-01 00:00:00",377
"15-19","0.899999976158142","2.09999990463257","1.39999997615814","25","III(a) Ependymomas and choroid plexus tumor",17999090,"2000-04-01 00:00:00",378
"5-9","1.70000004768372","3.20000004768372","2.40000009536743","43","III(a) Ependymomas and choroid plexus tumor",18205547,"2000-04-01 00:00:00",379
"<1","null","null","null","null","III(a) Ependymomas and choroid plexus tumor",3420047,"2000-04-01 00:00:00",380
"1-4","16.7999992370605","21.6000003814697","19.1000003814697","260","III(b) Astrocytomas",13615288,"2000-04-01 00:00:00",381
"10-14","14.3000001907349","18","16","294","III(b) Astrocytomas",18336708,"2000-04-01 00:00:00",382
"15-19","10.3000001907349","13.6000003814697","11.8999996185303","214","III(b) Astrocytomas",17999090,"2000-04-01 00:00:00",383
"5-9","14.6000003814697","18.2999992370605","16.3999996185303","298","III(b) Astrocytomas",18205547,"2000-04-01 00:00:00",384
"<1","10.3000001907349","18.6000003814697","14","48","III(b) Astrocytomas",3420047,"2000-04-01 00:00:00",385
"1-4","8","11.3000001907349","9.5","130","III(c) Intracranial and intraspinal embryonal tumors",13615288,"2000-04-01 00:00:00",386
"10-14","3.90000009536743","6","4.90000009536743","90","III(c) Intracranial and intraspinal embryonal tumors",18336708,"2000-04-01 00:00:00",387
"15-19","2.59999990463257","4.40000009536743","3.40000009536743","62","III(c) Intracranial and intraspinal embryonal tumors",17999090,"2000-04-01 00:00:00",388
"5-9","7.19999980926514","9.89999961853027","8.5","154","III(c) Intracranial and intraspinal embryonal tumors",18205547,"2000-04-01 00:00:00",389
"<1","6.59999990463257","13.6000003814697","9.60000038146973","33","III(c) Intracranial and intraspinal embryonal tumors",3420047,"2000-04-01 00:00:00",390
"1-4","3","5.30000019073486","4","55","III(d) Other gliomas",13615288,"2000-04-01 00:00:00",391
"10-14","3.20000004768372","5.09999990463257","4","74","III(d) Other gliomas",18336708,"2000-04-01 00:00:00",392
"15-19","3.20000004768372","5.09999990463257","4.09999990463257","73","III(d) Other gliomas",17999090,"2000-04-01 00:00:00",393
"5-9","4.69999980926514","6.90000009536743","5.69999980926514","104","III(d) Other gliomas",18205547,"2000-04-01 00:00:00",394
"<1","null","null","null","null","III(d) Other gliomas",3420047,"2000-04-01 00:00:00",395
"1-4","null","null","null","null","III(e) Other specified intracranial & intraspinal neoplasms",13615288,"2000-04-01 00:00:00",396
"10-14","null","null","null","null","III(e) Other specified intracranial & intraspinal neoplasms",18336708,"2000-04-01 00:00:00",397
"15-19","null","null","null","null","III(e) Other specified intracranial & intraspinal neoplasms",17999090,"2000-04-01 00:00:00",398
"5-9","null","null","null","null","III(e) Other specified intracranial & intraspinal neoplasms",18205547,"2000-04-01 00:00:00",399
"<1","null","null","null","null","III(e) Other specified intracranial & intraspinal neoplasms",3420047,"2000-04-01 00:00:00",400
"1-4","null","null","null","null","III(f) Unspecified intracranial and intraspinal neoplasms",13615288,"2000-04-01 00:00:00",401
"10-14","null","null","null","null","III(f) Unspecified intracranial and intraspinal neoplasms",18336708,"2000-04-01 00:00:00",402
"15-19","null","null","null","null","III(f) Unspecified intracranial and intraspinal neoplasms",17999090,"2000-04-01 00:00:00",403
"5-9","null","null","null","null","III(f) Unspecified intracranial and intraspinal neoplasms",18205547,"2000-04-01 00:00:00",404
"<1","null","null","null","null","III(f) Unspecified intracranial and intraspinal neoplasms",3420047,"2000-04-01 00:00:00",405
"1-4","17.3999996185303","22.2000007629395","19.7000007629395","268","IV Neuroblastoma and other peripheral nervous cell tumors",13615288,"2000-04-01 00:00:00",406
"10-14","0.899999976158142","2.09999990463257","1.39999997615814","26","IV Neuroblastoma and other peripheral nervous cell tumors",18336708,"2000-04-01 00:00:00",407
"15-19","null","null","null","null","IV Neuroblastoma and other peripheral nervous cell tumors",17999090,"2000-04-01 00:00:00",408
"5-9","2.5","4.19999980926514","3.20000004768372","59","IV Neuroblastoma and other peripheral nervous cell tumors",18205547,"2000-04-01 00:00:00",409
"<1","46.7999992370605","62.7999992370605","54.4000015258789","186","IV Neuroblastoma and other peripheral nervous cell tumors",3420047,"2000-04-01 00:00:00",410
"1-4","17.3999996185303","22.2000007629395","19.7000007629395","268","IV(a) Neuroblastoma and ganglioneuroblastoma",13615288,"2000-04-01 00:00:00",411
"10-14","0.699999988079071","1.79999995231628","1.10000002384186","21","IV(a) Neuroblastoma and ganglioneuroblastoma",18336708,"2000-04-01 00:00:00",412
"15-19","null","null","null","null","IV(a) Neuroblastoma and ganglioneuroblastoma",17999090,"2000-04-01 00:00:00",413
"5-9","2.40000009536743","4.09999990463257","3.09999990463257","57","IV(a) Neuroblastoma and ganglioneuroblastoma",18205547,"2000-04-01 00:00:00",414
"<1","46.7999992370605","62.7999992370605","54.4000015258789","186","IV(a) Neuroblastoma and ganglioneuroblastoma",3420047,"2000-04-01 00:00:00",415
"1-4","null","null","null","null","IV(b) Other peripheral nervous cell tumors",13615288,"2000-04-01 00:00:00",416
"10-14","null","null","null","null","IV(b) Other peripheral nervous cell tumors",18336708,"2000-04-01 00:00:00",417
"15-19","null","null","null","null","IV(b) Other peripheral nervous cell tumors",17999090,"2000-04-01 00:00:00",418
