"AGE","AGE_SPECIFIC_CI_LOWER","AGE_SPECIFIC_CI_UPPER","AGE_SPECIFIC_RATE","COUNT","EVENT_TYPE","POPULATION","SITE","YEAR","SERIALID"
"15-19","null","null","null","null","Mortality",20294955,"Colon and Rectum","2000-04-01 00:00:00",283
"5-9","null","null","null","null","Mortality",20463852,"Colon and Rectum","2000-04-01 00:00:00",284
"<1","null","null","null","null","Mortality",3855956,"Colon and Rectum","2000-04-01 00:00:00",285
"1-4","null","null","null","null","Incidence",13615288,"Colon and Rectum","2000-04-01 00:00:00",286
"10-14","null","null","null","null","Incidence",18336708,"Colon and Rectum","2000-04-01 00:00:00",287
"15-19","0.200000002980232","0.300000011920929","0.300000011920929","46","Incidence",17999090,"Colon and Rectum","2000-04-01 00:00:00",288
"5-9","null","null","null","null","Incidence",18205547,"Colon and Rectum","2000-04-01 00:00:00",289
"<1","null","null","null","null","Incidence",3420047,"Colon and Rectum","2000-04-01 00:00:00",290
"1-4","null","null","null","null","Mortality",7485852,"Corpus and Uterus, NOS","2000-04-01 00:00:00",291
"10-14","null","null","null","null","Mortality",10063054,"Corpus and Uterus, NOS","2000-04-01 00:00:00",292
"15-19","null","null","null","null","Mortality",9854932,"Corpus and Uterus, NOS","2000-04-01 00:00:00",293
"5-9","null","null","null","null","Mortality",9984495,"Corpus and Uterus, NOS","2000-04-01 00:00:00",294
"<1","null","null","null","null","Mortality",1881822,"Corpus and Uterus, NOS","2000-04-01 00:00:00",295
"1-4","null","null","null","null","Incidence",6652363,"Corpus and Uterus, NOS","2000-04-01 00:00:00",296
"10-14","null","null","null","null","Incidence",8939084,"Corpus and Uterus, NOS","2000-04-01 00:00:00",297
"15-19","null","null","null","null","Incidence",8737817,"Corpus and Uterus, NOS","2000-04-01 00:00:00",298
"5-9","null","null","null","null","Incidence",8883236,"Corpus and Uterus, NOS","2000-04-01 00:00:00",299
"<1","null","null","null","null","Incidence",1668985,"Corpus and Uterus, NOS","2000-04-01 00:00:00",300
"1-4","null","null","null","null","Mortality",15322337,"Esophagus","2000-04-01 00:00:00",301
"10-14","null","null","null","null","Mortality",20637696,"Esophagus","2000-04-01 00:00:00",302
"15-19","null","null","null","null","Mortality",20294955,"Esophagus","2000-04-01 00:00:00",303
"5-9","null","null","null","null","Mortality",20463852,"Esophagus","2000-04-01 00:00:00",304
"<1","null","null","null","null","Mortality",3855956,"Esophagus","2000-04-01 00:00:00",305
"1-4","null","null","null","null","Incidence",13615288,"Esophagus","2000-04-01 00:00:00",306
"10-14","null","null","null","null","Incidence",18336708,"Esophagus","2000-04-01 00:00:00",307
"15-19","null","null","null","null","Incidence",17999090,"Esophagus","2000-04-01 00:00:00",308
"5-9","null","null","null","null","Incidence",18205547,"Esophagus","2000-04-01 00:00:00",309
"<1","null","null","null","null","Incidence",3420047,"Esophagus","2000-04-01 00:00:00",310
"1-4","null","null","null","null","Mortality",7485852,"Female Breast","2000-04-01 00:00:00",311
"10-14","null","null","null","null","Mortality",10063054,"Female Breast","2000-04-01 00:00:00",312
"15-19","null","null","null","null","Mortality",9854932,"Female Breast","2000-04-01 00:00:00",313
"5-9","null","null","null","null","Mortality",9984495,"Female Breast","2000-04-01 00:00:00",314
"<1","null","null","null","null","Mortality",1881822,"Female Breast","2000-04-01 00:00:00",315
"1-4","null","null","null","null","Incidence",6652363,"Female Breast","2000-04-01 00:00:00",316
"10-14","null","null","null","null","Incidence",8939084,"Female Breast","2000-04-01 00:00:00",317
"15-19","null","null","null","null","Incidence",8737817,"Female Breast","2000-04-01 00:00:00",318
"5-9","null","null","null","null","Incidence",8883236,"Female Breast","2000-04-01 00:00:00",319
"<1","null","null","null","null","Incidence",1668985,"Female Breast","2000-04-01 00:00:00",320
"1-4","null","null","null","null","Incidence",6652363,"Female Breast, <i>in situ</i>","2000-04-01 00:00:00",321
"10-14","null","null","null","null","Incidence",8939084,"Female Breast, <i>in situ</i>","2000-04-01 00:00:00",322
"15-19","null","null","null","null","Incidence",8737817,"Female Breast, <i>in situ</i>","2000-04-01 00:00:00",323
"5-9","null","null","null","null","Incidence",8883236,"Female Breast, <i>in situ</i>","2000-04-01 00:00:00",324
"<1","null","null","null","null","Incidence",1668985,"Female Breast, <i>in situ</i>","2000-04-01 00:00:00",325
"1-4","null","null","null","null","Mortality",15322337,"Hodgkin Lymphoma","2000-04-01 00:00:00",326
"10-14","null","null","null","null","Mortality",20637696,"Hodgkin Lymphoma","2000-04-01 00:00:00",327
"15-19","0.100000001490116","0.200000002980232","0.100000001490116","21","Mortality",20294955,"Hodgkin Lymphoma","2000-04-01 00:00:00",328
"5-9","null","null","null","null","Mortality",20463852,"Hodgkin Lymphoma","2000-04-01 00:00:00",329
"<1","null","null","null","null","Mortality",3855956,"Hodgkin Lymphoma","2000-04-01 00:00:00",330
"1-4","0.100000001490116","0.200000002980232","0.100000001490116","16","Incidence",13615288,"Hodgkin Lymphoma","2000-04-01 00:00:00",331
"10-14","1.10000002384186","1.5","1.29999995231628","234","Incidence",18336708,"Hodgkin Lymphoma","2000-04-01 00:00:00",332
"15-19","2.90000009536743","3.40000009536743","3.09999990463257","566","Incidence",17999090,"Hodgkin Lymphoma","2000-04-01 00:00:00",333
"5-9","0.300000011920929","0.5","0.400000005960464","68","Incidence",18205547,"Hodgkin Lymphoma","2000-04-01 00:00:00",334
"<1","null","null","null","null","Incidence",3420047,"Hodgkin Lymphoma","2000-04-01 00:00:00",335
"1-4","null","null","null","null","Mortality",15322337,"Kaposi Sarcoma","2000-04-01 00:00:00",336
"10-14","null","null","null","null","Mortality",20637696,"Kaposi Sarcoma","2000-04-01 00:00:00",337
"15-19","null","null","null","null","Mortality",20294955,"Kaposi Sarcoma","2000-04-01 00:00:00",338
"5-9","null","null","null","null","Mortality",20463852,"Kaposi Sarcoma","2000-04-01 00:00:00",339
"<1","null","null","null","null","Mortality",3855956,"Kaposi Sarcoma","2000-04-01 00:00:00",340
"1-4","null","null","null","null","Incidence",13615288,"Kaposi Sarcoma","2000-04-01 00:00:00",341
"10-14","null","null","null","null","Incidence",18336708,"Kaposi Sarcoma","2000-04-01 00:00:00",342
"15-19","null","null","null","null","Incidence",17999090,"Kaposi Sarcoma","2000-04-01 00:00:00",343
"5-9","null","null","null","null","Incidence",18205547,"Kaposi Sarcoma","2000-04-01 00:00:00",344
"<1","null","null","null","null","Incidence",3420047,"Kaposi Sarcoma","2000-04-01 00:00:00",345
"1-4","null","null","null","null","Mortality",15322337,"Kidney and Renal Pelvis","2000-04-01 00:00:00",346
"10-14","null","null","null","null","Mortality",20637696,"Kidney and Renal Pelvis","2000-04-01 00:00:00",347
"15-19","null","null","null","null","Mortality",20294955,"Kidney and Renal Pelvis","2000-04-01 00:00:00",348
"5-9","0.100000001490116","0.200000002980232","0.100000001490116","21","Mortality",20463852,"Kidney and Renal Pelvis","2000-04-01 00:00:00",349
"<1","null","null","null","null","Mortality",3855956,"Kidney and Renal Pelvis","2000-04-01 00:00:00",350
"1-4","1.89999997615814","2.40000009536743","2.09999990463257","289","Incidence",13615288,"Kidney and Renal Pelvis","2000-04-01 00:00:00",351
"10-14","0.100000001490116","0.200000002980232","0.100000001490116","21","Incidence",18336708,"Kidney and Renal Pelvis","2000-04-01 00:00:00",352
"15-19","0.100000001490116","0.200000002980232","0.100000001490116","24","Incidence",17999090,"Kidney and Renal Pelvis","2000-04-01 00:00:00",353
"5-9","0.5","0.699999988079071","0.600000023841858","113","Incidence",18205547,"Kidney and Renal Pelvis","2000-04-01 00:00:00",354
"<1","1.20000004768372","2","1.5","53","Incidence",3420047,"Kidney and Renal Pelvis","2000-04-01 00:00:00",355
"1-4","null","null","null","null","Mortality",15322337,"Larynx","2000-04-01 00:00:00",356
"10-14","null","null","null","null","Mortality",20637696,"Larynx","2000-04-01 00:00:00",357
"15-19","null","null","null","null","Mortality",20294955,"Larynx","2000-04-01 00:00:00",358
"5-9","null","null","null","null","Mortality",20463852,"Larynx","2000-04-01 00:00:00",359
"<1","null","null","null","null","Mortality",3855956,"Larynx","2000-04-01 00:00:00",360
"1-4","null","null","null","null","Incidence",13615288,"Larynx","2000-04-01 00:00:00",361
"10-14","null","null","null","null","Incidence",18336708,"Larynx","2000-04-01 00:00:00",362
"15-19","null","null","null","null","Incidence",17999090,"Larynx","2000-04-01 00:00:00",363
"5-9","null","null","null","null","Incidence",18205547,"Larynx","2000-04-01 00:00:00",364
"<1","null","null","null","null","Incidence",3420047,"Larynx","2000-04-01 00:00:00",365
"1-4","0.800000011920929","1.10000002384186","0.899999976158142","137","Mortality",15322337,"Leukemias","2000-04-01 00:00:00",366
"10-14","0.699999988079071","1","0.800000011920929","173","Mortality",20637696,"Leukemias","2000-04-01 00:00:00",367
"15-19","1","1.39999997615814","1.20000004768372","242","Mortality",20294955,"Leukemias","2000-04-01 00:00:00",368
"5-9","0.600000023841858","0.800000011920929","0.699999988079071","142","Mortality",20463852,"Leukemias","2000-04-01 00:00:00",369
"<1","0.699999988079071","1.39999997615814","1","38","Mortality",3855956,"Leukemias","2000-04-01 00:00:00",370
"1-4","7.90000009536743","8.89999961853027","8.39999961853027","1144","Incidence",13615288,"Leukemias","2000-04-01 00:00:00",371
"10-14","2.29999995231628","2.70000004768372","2.5","457","Incidence",18336708,"Leukemias","2000-04-01 00:00:00",372
"15-19","2.5","3","2.70000004768372","493","Incidence",17999090,"Leukemias","2000-04-01 00:00:00",373
"5-9","3.5","4.09999990463257","3.79999995231628","695","Incidence",18205547,"Leukemias","2000-04-01 00:00:00",374
"<1","4","5.5","4.69999980926514","162","Incidence",3420047,"Leukemias","2000-04-01 00:00:00",375
"1-4","0.100000001490116","0.200000002980232","0.200000002980232","23","Mortality",15322337,"Liver and Intrahepatic Bile Duct","2000-04-01 00:00:00",376
"10-14","null","null","null","null","Mortality",20637696,"Liver and Intrahepatic Bile Duct","2000-04-01 00:00:00",377
"15-19","null","null","null","null","Mortality",20294955,"Liver and Intrahepatic Bile Duct","2000-04-01 00:00:00",378
"5-9","null","null","null","null","Mortality",20463852,"Liver and Intrahepatic Bile Duct","2000-04-01 00:00:00",379
"<1","null","null","null","null","Mortality",3855956,"Liver and Intrahepatic Bile Duct","2000-04-01 00:00:00",380
"1-4","0.400000005960464","0.600000023841858","0.5","65","Incidence",13615288,"Liver and Intrahepatic Bile Duct","2000-04-01 00:00:00",381
"10-14","0.100000001490116","0.200000002980232","0.100000001490116","20","Incidence",18336708,"Liver and Intrahepatic Bile Duct","2000-04-01 00:00:00",382
"15-19","0.100000001490116","0.100000001490116","0.100000001490116","16","Incidence",17999090,"Liver and Intrahepatic Bile Duct","2000-04-01 00:00:00",383
"5-9","null","null","null","null","Incidence",18205547,"Liver and Intrahepatic Bile Duct","2000-04-01 00:00:00",384
"<1","0.800000011920929","1.60000002384186","1.20000004768372","40","Incidence",3420047,"Liver and Intrahepatic Bile Duct","2000-04-01 00:00:00",385
"1-4","null","null","null","null","Mortality",15322337,"Lung and Bronchus","2000-04-01 00:00:00",386
"10-14","null","null","null","null","Mortality",20637696,"Lung and Bronchus","2000-04-01 00:00:00",387
"15-19","null","null","null","null","Mortality",20294955,"Lung and Bronchus","2000-04-01 00:00:00",388
"5-9","null","null","null","null","Mortality",20463852,"Lung and Bronchus","2000-04-01 00:00:00",389
"<1","null","null","null","null","Mortality",3855956,"Lung and Bronchus","2000-04-01 00:00:00",390
"1-4","null","null","null","null","Incidence",13615288,"Lung and Bronchus","2000-04-01 00:00:00",391
"10-14","null","null","null","null","Incidence",18336708,"Lung and Bronchus","2000-04-01 00:00:00",392
"15-19","0.100000001490116","0.200000002980232","0.200000002980232","27","Incidence",17999090,"Lung and Bronchus","2000-04-01 00:00:00",393
"5-9","null","null","null","null","Incidence",18205547,"Lung and Bronchus","2000-04-01 00:00:00",394
"<1","null","null","null","null","Incidence",3420047,"Lung and Bronchus","2000-04-01 00:00:00",395
"1-4","null","null","null","null","Mortality",7485852,"Male and Female Breast","2000-04-01 00:00:00",396
"10-14","null","null","null","null","Mortality",10063054,"Male and Female Breast","2000-04-01 00:00:00",397
"15-19","null","null","null","null","Mortality",9854932,"Male and Female Breast","2000-04-01 00:00:00",398
"5-9","null","null","null","null","Mortality",9984495,"Male and Female Breast","2000-04-01 00:00:00",399
"<1","null","null","null","null","Mortality",1881822,"Male and Female Breast","2000-04-01 00:00:00",400
"1-4","null","null","null","null","Incidence",6652363,"Male and Female Breast","2000-04-01 00:00:00",401
"10-14","null","null","null","null","Incidence",8939084,"Male and Female Breast","2000-04-01 00:00:00",402
"15-19","null","null","null","null","Incidence",8737817,"Male and Female Breast","2000-04-01 00:00:00",403
"5-9","null","null","null","null","Incidence",8883236,"Male and Female Breast","2000-04-01 00:00:00",404
"<1","null","null","null","null","Incidence",1668985,"Male and Female Breast","2000-04-01 00:00:00",405
"1-4","null","null","null","null","Incidence",6652363,"Male and Female Breast, <i>in situ</i>","2000-04-01 00:00:00",406
"10-14","null","null","null","null","Incidence",8939084,"Male and Female Breast, <i>in situ</i>","2000-04-01 00:00:00",407
"15-19","null","null","null","null","Incidence",8737817,"Male and Female Breast, <i>in situ</i>","2000-04-01 00:00:00",408
"5-9","null","null","null","null","Incidence",8883236,"Male and Female Breast, <i>in situ</i>","2000-04-01 00:00:00",409
"<1","null","null","null","null","Incidence",1668985,"Male and Female Breast, <i>in situ</i>","2000-04-01 00:00:00",410
"1-4","null","null","null","null","Mortality",15322337,"Melanomas of the Skin","2000-04-01 00:00:00",411
"10-14","null","null","null","null","Mortality",20637696,"Melanomas of the Skin","2000-04-01 00:00:00",412
"15-19","null","null","null","null","Mortality",20294955,"Melanomas of the Skin","2000-04-01 00:00:00",413
"5-9","null","null","null","null","Mortality",20463852,"Melanomas of the Skin","2000-04-01 00:00:00",414
"<1","null","null","null","null","Mortality",3855956,"Melanomas of the Skin","2000-04-01 00:00:00",415
"1-4","null","null","null","null","Incidence",13615288,"Melanomas of the Skin","2000-04-01 00:00:00",416
"10-14","0.200000002980232","0.400000005960464","0.300000011920929","56","Incidence",18336708,"Melanomas of the Skin","2000-04-01 00:00:00",417
"15-19","1.29999995231628","1.70000004768372","1.5","269","Incidence",17999090,"Melanomas of the Skin","2000-04-01 00:00:00",418
"5-9","0.100000001490116","0.100000001490116","0.100000001490116","16","Incidence",18205547,"Melanomas of the Skin","2000-04-01 00:00:00",419
"<1","null","null","null","null","Incidence",3420047,"Melanomas of the Skin","2000-04-01 00:00:00",420
"1-4","null","null","null","null","Mortality",15322337,"Mesothelioma","2000-04-01 00:00:00",421
"10-14","null","null","null","null","Mortality",20637696,"Mesothelioma","2000-04-01 00:00:00",422
"15-19","null","null","null","null","Mortality",20294955,"Mesothelioma","2000-04-01 00:00:00",423
"5-9","null","null","null","null","Mortality",20463852,"Mesothelioma","2000-04-01 00:00:00",424
"<1","null","null","null","null","Mortality",3855956,"Mesothelioma","2000-04-01 00:00:00",425
"1-4","null","null","null","null","Incidence",13615288,"Mesothelioma","2000-04-01 00:00:00",426
"10-14","null","null","null","null","Incidence",18336708,"Mesothelioma","2000-04-01 00:00:00",427
"15-19","null","null","null","null","Incidence",17999090,"Mesothelioma","2000-04-01 00:00:00",428
"5-9","null","null","null","null","Incidence",18205547,"Mesothelioma","2000-04-01 00:00:00",429
"<1","null","null","null","null","Incidence",3420047,"Mesothelioma","2000-04-01 00:00:00",430
"1-4","null","null","null","null","Mortality",15322337,"Myeloma","2000-04-01 00:00:00",431
"10-14","null","null","null","null","Mortality",20637696,"Myeloma","2000-04-01 00:00:00",432
"15-19","null","null","null","null","Mortality",20294955,"Myeloma","2000-04-01 00:00:00",433
"5-9","null","null","null","null","Mortality",20463852,"Myeloma","2000-04-01 00:00:00",434
"<1","null","null","null","null","Mortality",3855956,"Myeloma","2000-04-01 00:00:00",435
"1-4","null","null","null","null","Incidence",13615288,"Myeloma","2000-04-01 00:00:00",436
"10-14","null","null","null","null","Incidence",18336708,"Myeloma","2000-04-01 00:00:00",437
"15-19","null","null","null","null","Incidence",17999090,"Myeloma","2000-04-01 00:00:00",438
"5-9","null","null","null","null","Incidence",18205547,"Myeloma","2000-04-01 00:00:00",439
"<1","null","null","null","null","Incidence",3420047,"Myeloma","2000-04-01 00:00:00",440
"1-4","null","null","null","null","Mortality",15322337,"Non-Hodgkin Lymphoma","2000-04-01 00:00:00",441
"10-14","0.100000001490116","0.200000002980232","0.100000001490116","24","Mortality",20637696,"Non-Hodgkin Lymphoma","2000-04-01 00:00:00",442
"15-19","0.200000002980232","0.400000005960464","0.300000011920929","60","Mortality",20294955,"Non-Hodgkin Lymphoma","2000-04-01 00:00:00",443
"5-9","0.100000001490116","0.200000002980232","0.100000001490116","23","Mortality",20463852,"Non-Hodgkin Lymphoma","2000-04-01 00:00:00",444
"<1","null","null","null","null","Mortality",3855956,"Non-Hodgkin Lymphoma","2000-04-01 00:00:00",445
"1-4","0.5","0.699999988079071","0.600000023841858","82","Incidence",13615288,"Non-Hodgkin Lymphoma","2000-04-01 00:00:00",446
"10-14","1","1.29999995231628","1.20000004768372","211","Incidence",18336708,"Non-Hodgkin Lymphoma","2000-04-01 00:00:00",447
"15-19","1.60000002384186","2","1.79999995231628","319","Incidence",17999090,"Non-Hodgkin Lymphoma","2000-04-01 00:00:00",448
"5-9","0.899999976158142","1.20000004768372","1.10000002384186","195","Incidence",18205547,"Non-Hodgkin Lymphoma","2000-04-01 00:00:00",449
"<1","null","null","null","null","Incidence",3420047,"Non-Hodgkin Lymphoma","2000-04-01 00:00:00",450
"1-4","null","null","null","null","Mortality",15322337,"Oral Cavity and Pharynx","2000-04-01 00:00:00",451
"10-14","null","null","null","null","Mortality",20637696,"Oral Cavity and Pharynx","2000-04-01 00:00:00",452
"15-19","null","null","null","null","Mortality",20294955,"Oral Cavity and Pharynx","2000-04-01 00:00:00",453
"5-9","null","null","null","null","Mortality",20463852,"Oral Cavity and Pharynx","2000-04-01 00:00:00",454
"<1","null","null","null","null","Mortality",3855956,"Oral Cavity and Pharynx","2000-04-01 00:00:00",455
"1-4","null","null","null","null","Incidence",13615288,"Oral Cavity and Pharynx","2000-04-01 00:00:00",456
"10-14","0.200000002980232","0.300000011920929","0.200000002980232","42","Incidence",18336708,"Oral Cavity and Pharynx","2000-04-01 00:00:00",457
"15-19","0.300000011920929","0.5","0.400000005960464","74","Incidence",17999090,"Oral Cavity and Pharynx","2000-04-01 00:00:00",458
"5-9","0.100000001490116","0.200000002980232","0.100000001490116","20","Incidence",18205547,"Oral Cavity and Pharynx","2000-04-01 00:00:00",459
"<1","null","null","null","null","Incidence",3420047,"Oral Cavity and Pharynx","2000-04-01 00:00:00",460
"1-4","null","null","null","null","Mortality",7485852,"Ovary","2000-04-01 00:00:00",461
"10-14","null","null","null","null","Mortality",10063054,"Ovary","2000-04-01 00:00:00",462
"15-19","null","null","null","null","Mortality",9854932,"Ovary","2000-04-01 00:00:00",463
"5-9","null","null","null","null","Mortality",9984495,"Ovary","2000-04-01 00:00:00",464
"<1","null","null","null","null","Mortality",1881822,"Ovary","2000-04-01 00:00:00",465
"1-4","null","null","null","null","Incidence",6652363,"Ovary","2000-04-01 00:00:00",466
"10-14","0.5","0.899999976158142","0.699999988079071","61","Incidence",8939084,"Ovary","2000-04-01 00:00:00",467
"15-19","1.10000002384186","1.60000002384186","1.29999995231628","114","Incidence",8737817,"Ovary","2000-04-01 00:00:00",468
"5-9","0.100000001490116","0.300000011920929","0.200000002980232","19","Incidence",8883236,"Ovary","2000-04-01 00:00:00",469
"<1","null","null","null","null","Incidence",1668985,"Ovary","2000-04-01 00:00:00",470
"1-4","null","null","null","null","Mortality",15322337,"Pancreas","2000-04-01 00:00:00",471
"10-14","null","null","null","null","Mortality",20637696,"Pancreas","2000-04-01 00:00:00",472
"15-19","null","null","null","null","Mortality",20294955,"Pancreas","2000-04-01 00:00:00",473
"5-9","null","null","null","null","Mortality",20463852,"Pancreas","2000-04-01 00:00:00",474
"<1","null","null","null","null","Mortality",3855956,"Pancreas","2000-04-01 00:00:00",475
"1-4","null","null","null","null","Incidence",13615288,"Pancreas","2000-04-01 00:00:00",476
"10-14","null","null","null","null","Incidence",18336708,"Pancreas","2000-04-01 00:00:00",477
"15-19","null","null","null","null","Incidence",17999090,"Pancreas","2000-04-01 00:00:00",478
"5-9","null","null","null","null","Incidence",18205547,"Pancreas","2000-04-01 00:00:00",479
"<1","null","null","null","null","Incidence",3420047,"Pancreas","2000-04-01 00:00:00",480
"1-4","null","null","null","null","Mortality",7836485,"Prostate","2000-04-01 00:00:00",481
"10-14","null","null","null","null","Mortality",10574642,"Prostate","2000-04-01 00:00:00",482
"15-19","null","null","null","null","Mortality",10440023,"Prostate","2000-04-01 00:00:00",483
"5-9","null","null","null","null","Mortality",10479357,"Prostate","2000-04-01 00:00:00",484
"<1","null","null","null","null","Mortality",1974134,"Prostate","2000-04-01 00:00:00",485
"1-4","null","null","null","null","Incidence",6962925,"Prostate","2000-04-01 00:00:00",486
"10-14","null","null","null","null","Incidence",9397624,"Prostate","2000-04-01 00:00:00",487
"15-19","null","null","null","null","Incidence",9261273,"Prostate","2000-04-01 00:00:00",488
"5-9","null","null","null","null","Incidence",9322311,"Prostate","2000-04-01 00:00:00",489
"<1","null","null","null","null","Incidence",1751062,"Prostate","2000-04-01 00:00:00",490
"1-4","null","null","null","null","Mortality",15322337,"Stomach","2000-04-01 00:00:00",491
"10-14","null","null","null","null","Mortality",20637696,"Stomach","2000-04-01 00:00:00",492
"15-19","null","null","null","null","Mortality",20294955,"Stomach","2000-04-01 00:00:00",493
"5-9","null","null","null","null","Mortality",20463852,"Stomach","2000-04-01 00:00:00",494
"<1","null","null","null","null","Mortality",3855956,"Stomach","2000-04-01 00:00:00",495
"1-4","null","null","null","null","Incidence",13615288,"Stomach","2000-04-01 00:00:00",496
"10-14","null","null","null","null","Incidence",18336708,"Stomach","2000-04-01 00:00:00",497
"15-19","null","null","null","null","Incidence",17999090,"Stomach","2000-04-01 00:00:00",498
"5-9","null","null","null","null","Incidence",18205547,"Stomach","2000-04-01 00:00:00",499
"<1","null","null","null","null","Incidence",3420047,"Stomach","2000-04-01 00:00:00",500
"1-4","null","null","null","null","Mortality",7836485,"Testis","2000-04-01 00:00:00",501
"10-14","null","null","null","null","Mortality",10574642,"Testis","2000-04-01 00:00:00",502
"15-19","null","null","null","null","Mortality",10440023,"Testis","2000-04-01 00:00:00",503
"5-9","null","null","null","null","Mortality",10479357,"Testis","2000-04-01 00:00:00",504
"<1","null","null","null","null","Mortality",1974134,"Testis","2000-04-01 00:00:00",505
"1-4","null","null","null","null","Incidence",6962925,"Testis","2000-04-01 00:00:00",506
"10-14","0.100000001490116","0.300000011920929","0.200000002980232","17","Incidence",9397624,"Testis","2000-04-01 00:00:00",507
"15-19","3.09999990463257","3.79999995231628","3.40000009536743","319","Incidence",9261273,"Testis","2000-04-01 00:00:00",508
"5-9","null","null","null","null","Incidence",9322311,"Testis","2000-04-01 00:00:00",509
"<1","null","null","null","null","Incidence",1751062,"Testis","2000-04-01 00:00:00",510
"1-4","null","null","null","null","Mortality",15322337,"Thyroid","2000-04-01 00:00:00",511
"10-14","null","null","null","null","Mortality",20637696,"Thyroid","2000-04-01 00:00:00",512
"15-19","null","null","null","null","Mortality",20294955,"Thyroid","2000-04-01 00:00:00",513
