"AGE","AGE_ADJUSTED_CI_LOWER","AGE_ADJUSTED_CI_UPPER","AGE_ADJUSTED_RATE","BEHAVIOR","COUNT","POPULATION","SEX","SITE","YEAR","CRUDE_CI_LOWER","CRUDE_CI_UPPER","CRUDE_RATE","SERIALID"
"0-19","null","null","null","Malignant","null",38305772,"Female","Local Extensions from Regional Tumors","2005-04-01 00:00:00","null","null","null",244
"0-19","null","null","null","Benign/Borderline","null",38466303,"Female","Local Extensions from Regional Tumors","2006-04-01 00:00:00","null","null","null",245
"0-19","null","null","null","Malignant","null",38466303,"Female","Local Extensions from Regional Tumors","2006-04-01 00:00:00","null","null","null",246
"0-19","null","null","null","Benign/Borderline","null",39682297,"Female","Local Extensions from Regional Tumors","2007-04-01 00:00:00","null","null","null",249
"0-19","null","null","null","Malignant","null",39682297,"Female","Local Extensions from Regional Tumors","2007-04-01 00:00:00","null","null","null",250
"0-19","null","null","null","Benign/Borderline","null",39875033,"Female","Local Extensions from Regional Tumors","2008-04-01 00:00:00","null","null","null",251
"0-19","null","null","null","Malignant","null",39875033,"Female","Local Extensions from Regional Tumors","2008-04-01 00:00:00","null","null","null",252
"0-19","null","null","null","Benign/Borderline","null",39970215,"Female","Local Extensions from Regional Tumors","2009-04-01 00:00:00","null","null","null",253
"0-19","null","null","null","Malignant","null",39970215,"Female","Local Extensions from Regional Tumors","2009-04-01 00:00:00","null","null","null",254
"0-19","null","null","null","Benign/Borderline","null",39544072,"Female","Local Extensions from Regional Tumors","2010-04-01 00:00:00","null","null","null",255
"0-19","null","null","null","Malignant","null",39544072,"Female","Local Extensions from Regional Tumors","2010-04-01 00:00:00","null","null","null",256
"0-19","null","null","null","Benign/Borderline","null",38177564,"Female","Lymphomas and Hematopoietic Neoplasms","2004-04-01 00:00:00","null","null","null",257
"0-19","null","null","null","Malignant","null",38177564,"Female","Lymphomas and Hematopoietic Neoplasms","2004-04-01 00:00:00","null","null","null",258
"0-19","null","null","null","Benign/Borderline","null",38305772,"Female","Lymphomas and Hematopoietic Neoplasms","2005-04-01 00:00:00","null","null","null",259
"0-19","null","null","null","Malignant","null",38305772,"Female","Lymphomas and Hematopoietic Neoplasms","2005-04-01 00:00:00","null","null","null",260
"0-19","null","null","null","Benign/Borderline","null",38466303,"Female","Lymphomas and Hematopoietic Neoplasms","2006-04-01 00:00:00","null","null","null",261
"0-19","null","null","null","Malignant","null",38466303,"Female","Lymphomas and Hematopoietic Neoplasms","2006-04-01 00:00:00","null","null","null",262
"0-19","null","null","null","Benign/Borderline","null",39682297,"Female","Lymphomas and Hematopoietic Neoplasms","2007-04-01 00:00:00","null","null","null",265
"0-19","null","null","null","Malignant","null",39682297,"Female","Lymphomas and Hematopoietic Neoplasms","2007-04-01 00:00:00","null","null","null",266
"0-19","null","null","null","Benign/Borderline","null",39875033,"Female","Lymphomas and Hematopoietic Neoplasms","2008-04-01 00:00:00","null","null","null",267
"0-19","null","null","null","Malignant","null",39875033,"Female","Lymphomas and Hematopoietic Neoplasms","2008-04-01 00:00:00","null","null","null",268
"0-19","null","null","null","Benign/Borderline","null",39970215,"Female","Lymphomas and Hematopoietic Neoplasms","2009-04-01 00:00:00","null","null","null",269
"0-19","null","null","null","Malignant","null",39970215,"Female","Lymphomas and Hematopoietic Neoplasms","2009-04-01 00:00:00","null","null","null",270
"0-19","null","null","null","Benign/Borderline","null",39544072,"Female","Lymphomas and Hematopoietic Neoplasms","2010-04-01 00:00:00","null","null","null",271
"0-19","null","null","null","Malignant","null",39544072,"Female","Lymphomas and Hematopoietic Neoplasms","2010-04-01 00:00:00","null","null","null",272
"0-19","0.100000001490116","0.100000001490116","0.100000001490116","Benign/Borderline","42",38177564,"Female","Meningioma","2004-04-01 00:00:00","0.100000001490116","0.100000001490116","0.100000001490116",273
"0-19","null","null","null","Malignant","null",38177564,"Female","Meningioma","2004-04-01 00:00:00","null","null","null",274
"0-19","0.100000001490116","0.200000002980232","0.200000002980232","Benign/Borderline","65",38305772,"Female","Meningioma","2005-04-01 00:00:00","0.100000001490116","0.200000002980232","0.200000002980232",275
"0-19","null","null","null","Malignant","null",38305772,"Female","Meningioma","2005-04-01 00:00:00","null","null","null",276
"0-19","0.100000001490116","0.100000001490116","0.100000001490116","Benign/Borderline","39",38466303,"Female","Meningioma","2006-04-01 00:00:00","0.100000001490116","0.100000001490116","0.100000001490116",277
"0-19","null","null","null","Malignant","null",38466303,"Female","Meningioma","2006-04-01 00:00:00","null","null","null",278
"0-19","0.100000001490116","0.200000002980232","0.100000001490116","Benign/Borderline","53",39682297,"Female","Meningioma","2007-04-01 00:00:00","0.100000001490116","0.200000002980232","0.100000001490116",281
"0-19","null","null","null","Malignant","null",39682297,"Female","Meningioma","2007-04-01 00:00:00","null","null","null",282
"0-19","0.100000001490116","0.200000002980232","0.100000001490116","Benign/Borderline","58",39875033,"Female","Meningioma","2008-04-01 00:00:00","0.100000001490116","0.200000002980232","0.100000001490116",283
"0-19","null","null","null","Malignant","null",39875033,"Female","Meningioma","2008-04-01 00:00:00","null","null","null",284
"0-19","0.100000001490116","0.200000002980232","0.100000001490116","Benign/Borderline","55",39970215,"Female","Meningioma","2009-04-01 00:00:00","0.100000001490116","0.200000002980232","0.100000001490116",285
"0-19","null","null","null","Malignant","null",39970215,"Female","Meningioma","2009-04-01 00:00:00","null","null","null",286
"0-19","0.100000001490116","0.200000002980232","0.100000001490116","Benign/Borderline","56",39544072,"Female","Meningioma","2010-04-01 00:00:00","0.100000001490116","0.200000002980232","0.100000001490116",287
"0-19","null","null","null","Malignant","null",39544072,"Female","Meningioma","2010-04-01 00:00:00","null","null","null",288
"0-19","null","null","null","Benign/Borderline","null",38177564,"Female","Mixed glioma","2004-04-01 00:00:00","null","null","null",289
"0-19","0","0.100000001490116","0.100000001490116","Malignant","20",38177564,"Female","Mixed glioma","2004-04-01 00:00:00","0","0.100000001490116","0.100000001490116",290
"0-19","null","null","null","Benign/Borderline","null",38305772,"Female","Mixed glioma","2005-04-01 00:00:00","null","null","null",291
"0-19","null","null","null","Malignant","null",38305772,"Female","Mixed glioma","2005-04-01 00:00:00","null","null","null",292
"0-19","null","null","null","Benign/Borderline","null",38466303,"Female","Mixed glioma","2006-04-01 00:00:00","null","null","null",293
"0-19","null","null","null","Malignant","null",38466303,"Female","Mixed glioma","2006-04-01 00:00:00","null","null","null",294
"0-19","null","null","null","Benign/Borderline","null",39682297,"Female","Mixed glioma","2007-04-01 00:00:00","null","null","null",297
"0-19","0","0.100000001490116","0","Malignant","19",39682297,"Female","Mixed glioma","2007-04-01 00:00:00","0","0.100000001490116","0",298
"0-19","null","null","null","Benign/Borderline","null",39875033,"Female","Mixed glioma","2008-04-01 00:00:00","null","null","null",299
"0-19","0","0.100000001490116","0","Malignant","20",39875033,"Female","Mixed glioma","2008-04-01 00:00:00","0","0.100000001490116","0.100000001490116",300
"0-19","null","null","null","Benign/Borderline","null",39970215,"Female","Mixed glioma","2009-04-01 00:00:00","null","null","null",301
"0-19","null","null","null","Malignant","null",39970215,"Female","Mixed glioma","2009-04-01 00:00:00","null","null","null",302
"0-19","null","null","null","Benign/Borderline","null",39544072,"Female","Mixed glioma","2010-04-01 00:00:00","null","null","null",303
"0-19","0","0.100000001490116","0","Malignant","16",39544072,"Female","Mixed glioma","2010-04-01 00:00:00","0","0.100000001490116","0",304
"0-19","0.100000001490116","0.100000001490116","0.100000001490116","Benign/Borderline","31",38177564,"Female","Neoplasm, unspecified","2004-04-01 00:00:00","0.100000001490116","0.100000001490116","0.100000001490116",305
"0-19","0","0.100000001490116","0.100000001490116","Malignant","26",38177564,"Female","Neoplasm, unspecified","2004-04-01 00:00:00","0","0.100000001490116","0.100000001490116",306
"0-19","0.100000001490116","0.200000002980232","0.100000001490116","Benign/Borderline","50",38305772,"Female","Neoplasm, unspecified","2005-04-01 00:00:00","0.100000001490116","0.200000002980232","0.100000001490116",307
"0-19","0","0.100000001490116","0","Malignant","18",38305772,"Female","Neoplasm, unspecified","2005-04-01 00:00:00","0","0.100000001490116","0",308
"0-19","0.100000001490116","0.200000002980232","0.100000001490116","Benign/Borderline","46",38466303,"Female","Neoplasm, unspecified","2006-04-01 00:00:00","0.100000001490116","0.200000002980232","0.100000001490116",309
"0-19","0","0.100000001490116","0.100000001490116","Malignant","23",38466303,"Female","Neoplasm, unspecified","2006-04-01 00:00:00","0","0.100000001490116","0.100000001490116",310
"0-19","0.100000001490116","0.100000001490116","0.100000001490116","Benign/Borderline","44",39682297,"Female","Neoplasm, unspecified","2007-04-01 00:00:00","0.100000001490116","0.100000001490116","0.100000001490116",313
"0-19","0","0.100000001490116","0","Malignant","16",39682297,"Female","Neoplasm, unspecified","2007-04-01 00:00:00","0","0.100000001490116","0",314
"0-19","0.100000001490116","0.200000002980232","0.200000002980232","Benign/Borderline","68",39875033,"Female","Neoplasm, unspecified","2008-04-01 00:00:00","0.100000001490116","0.200000002980232","0.200000002980232",315
"0-19","0","0.100000001490116","0","Malignant","16",39875033,"Female","Neoplasm, unspecified","2008-04-01 00:00:00","0","0.100000001490116","0",316
"0-19","0.100000001490116","0.200000002980232","0.100000001490116","Benign/Borderline","57",39970215,"Female","Neoplasm, unspecified","2009-04-01 00:00:00","0.100000001490116","0.200000002980232","0.100000001490116",317
"0-19","0","0.100000001490116","0","Malignant","18",39970215,"Female","Neoplasm, unspecified","2009-04-01 00:00:00","0","0.100000001490116","0",318
"0-19","0.100000001490116","0.200000002980232","0.200000002980232","Benign/Borderline","73",39544072,"Female","Neoplasm, unspecified","2010-04-01 00:00:00","0.100000001490116","0.200000002980232","0.200000002980232",319
"0-19","null","null","null","Malignant","null",39544072,"Female","Neoplasm, unspecified","2010-04-01 00:00:00","null","null","null",320
"0-19","0.200000002980232","0.300000011920929","0.200000002980232","Benign/Borderline","91",38177564,"Female","Nerve sheath, benign and malignant","2004-04-01 00:00:00","0.200000002980232","0.300000011920929","0.200000002980232",321
"0-19","null","null","null","Malignant","null",38177564,"Female","Nerve sheath, benign and malignant","2004-04-01 00:00:00","null","null","null",322
"0-19","0.300000011920929","0.400000005960464","0.400000005960464","Benign/Borderline","139",38305772,"Female","Nerve sheath, benign and malignant","2005-04-01 00:00:00","0.300000011920929","0.400000005960464","0.400000005960464",323
"0-19","null","null","null","Malignant","null",38305772,"Female","Nerve sheath, benign and malignant","2005-04-01 00:00:00","null","null","null",324
"0-19","0.300000011920929","0.400000005960464","0.300000011920929","Benign/Borderline","132",38466303,"Female","Nerve sheath, benign and malignant","2006-04-01 00:00:00","0.300000011920929","0.400000005960464","0.300000011920929",325
"0-19","null","null","null","Malignant","null",38466303,"Female","Nerve sheath, benign and malignant","2006-04-01 00:00:00","null","null","null",326
"0-19","0.200000002980232","0.300000011920929","0.300000011920929","Benign/Borderline","104",39682297,"Female","Nerve sheath, benign and malignant","2007-04-01 00:00:00","0.200000002980232","0.300000011920929","0.300000011920929",329
"0-19","null","null","null","Malignant","null",39682297,"Female","Nerve sheath, benign and malignant","2007-04-01 00:00:00","null","null","null",330
"0-19","0.200000002980232","0.400000005960464","0.300000011920929","Benign/Borderline","117",39875033,"Female","Nerve sheath, benign and malignant","2008-04-01 00:00:00","0.200000002980232","0.400000005960464","0.300000011920929",331
"0-19","null","null","null","Malignant","null",39875033,"Female","Nerve sheath, benign and malignant","2008-04-01 00:00:00","null","null","null",332
"0-19","0.200000002980232","0.300000011920929","0.300000011920929","Benign/Borderline","116",39970215,"Female","Nerve sheath, benign and malignant","2009-04-01 00:00:00","0.200000002980232","0.300000011920929","0.300000011920929",333
"0-19","null","null","null","Malignant","null",39970215,"Female","Nerve sheath, benign and malignant","2009-04-01 00:00:00","null","null","null",334
"0-19","0.200000002980232","0.300000011920929","0.200000002980232","Benign/Borderline","90",39544072,"Female","Nerve sheath, benign and malignant","2010-04-01 00:00:00","0.200000002980232","0.300000011920929","0.200000002980232",335
"0-19","null","null","null","Malignant","null",39544072,"Female","Nerve sheath, benign and malignant","2010-04-01 00:00:00","null","null","null",336
"0-19","null","null","null","Benign/Borderline","null",38177564,"Female","Neuroepithelial","2004-04-01 00:00:00","null","null","null",337
"0-19","null","null","null","Malignant","null",38177564,"Female","Neuroepithelial","2004-04-01 00:00:00","null","null","null",338
"0-19","null","null","null","Benign/Borderline","null",38305772,"Female","Neuroepithelial","2005-04-01 00:00:00","null","null","null",339
"0-19","null","null","null","Malignant","null",38305772,"Female","Neuroepithelial","2005-04-01 00:00:00","null","null","null",340
"0-19","null","null","null","Benign/Borderline","null",38466303,"Female","Neuroepithelial","2006-04-01 00:00:00","null","null","null",341
"0-19","null","null","null","Malignant","null",38466303,"Female","Neuroepithelial","2006-04-01 00:00:00","null","null","null",342
"0-19","null","null","null","Malignant","null",41633209,"Male","Anaplastic oligodendroglioma","2007-04-01 00:00:00","null","null","null",343
"0-19","null","null","null","Benign/Borderline","null",39682297,"Female","Neuroepithelial","2007-04-01 00:00:00","null","null","null",346
"0-19","null","null","null","Malignant","null",39682297,"Female","Neuroepithelial","2007-04-01 00:00:00","null","null","null",347
"0-19","null","null","null","Benign/Borderline","null",39875033,"Female","Neuroepithelial","2008-04-01 00:00:00","null","null","null",348
"0-19","null","null","null","Malignant","null",39875033,"Female","Neuroepithelial","2008-04-01 00:00:00","null","null","null",349
"0-19","null","null","null","Benign/Borderline","null",39970215,"Female","Neuroepithelial","2009-04-01 00:00:00","null","null","null",350
"0-19","null","null","null","Malignant","null",39970215,"Female","Neuroepithelial","2009-04-01 00:00:00","null","null","null",351
"0-19","null","null","null","Benign/Borderline","null",39544072,"Female","Neuroepithelial","2010-04-01 00:00:00","null","null","null",352
"0-19","null","null","null","Malignant","null",39544072,"Female","Neuroepithelial","2010-04-01 00:00:00","null","null","null",353
"0-19","0.200000002980232","0.300000011920929","0.300000011920929","Benign/Borderline","110",38177564,"Female","Neuronal/glial, neuronal","2004-04-01 00:00:00","0.200000002980232","0.300000011920929","0.300000011920929",354
"0-19","0","0.100000001490116","0.100000001490116","Malignant","21",38177564,"Female","Neuronal/glial, neuronal","2004-04-01 00:00:00","0","0.100000001490116","0.100000001490116",355
"0-19","0.300000011920929","0.400000005960464","0.300000011920929","Benign/Borderline","128",38305772,"Female","Neuronal/glial, neuronal","2005-04-01 00:00:00","0.300000011920929","0.400000005960464","0.300000011920929",356
"0-19","0","0.100000001490116","0.100000001490116","Malignant","23",38305772,"Female","Neuronal/glial, neuronal","2005-04-01 00:00:00","0","0.100000001490116","0.100000001490116",357
"0-19","0.200000002980232","0.400000005960464","0.300000011920929","Benign/Borderline","114",38466303,"Female","Neuronal/glial, neuronal","2006-04-01 00:00:00","0.200000002980232","0.400000005960464","0.300000011920929",358
"0-19","0","0.100000001490116","0.100000001490116","Malignant","23",38466303,"Female","Neuronal/glial, neuronal","2006-04-01 00:00:00","0","0.100000001490116","0.100000001490116",359
"0-19","0.300000011920929","0.400000005960464","0.300000011920929","Benign/Borderline","130",39682297,"Female","Neuronal/glial, neuronal","2007-04-01 00:00:00","0.300000011920929","0.400000005960464","0.300000011920929",362
"0-19","0.100000001490116","0.100000001490116","0.100000001490116","Malignant","30",39682297,"Female","Neuronal/glial, neuronal","2007-04-01 00:00:00","0.100000001490116","0.100000001490116","0.100000001490116",363
"0-19","0.300000011920929","0.400000005960464","0.300000011920929","Benign/Borderline","125",39875033,"Female","Neuronal/glial, neuronal","2008-04-01 00:00:00","0.300000011920929","0.400000005960464","0.300000011920929",364
"0-19","0","0.100000001490116","0.100000001490116","Malignant","26",39875033,"Female","Neuronal/glial, neuronal","2008-04-01 00:00:00","0","0.100000001490116","0.100000001490116",365
"0-19","0.300000011920929","0.400000005960464","0.300000011920929","Benign/Borderline","125",39970215,"Female","Neuronal/glial, neuronal","2009-04-01 00:00:00","0.300000011920929","0.400000005960464","0.300000011920929",366
"0-19","null","null","null","Malignant","null",39970215,"Female","Neuronal/glial, neuronal","2009-04-01 00:00:00","null","null","null",367
"0-19","0.300000011920929","0.400000005960464","0.300000011920929","Benign/Borderline","136",39544072,"Female","Neuronal/glial, neuronal","2010-04-01 00:00:00","0.300000011920929","0.400000005960464","0.300000011920929",368
"0-19","0","0.100000001490116","0.100000001490116","Malignant","21",39544072,"Female","Neuronal/glial, neuronal","2010-04-01 00:00:00","0","0.100000001490116","0.100000001490116",369
"0-19","null","null","null","Benign/Borderline","null",38177564,"Female","Oligodendroglioma","2004-04-01 00:00:00","null","null","null",370
"0-19","0","0.100000001490116","0.100000001490116","Malignant","24",38177564,"Female","Oligodendroglioma","2004-04-01 00:00:00","0","0.100000001490116","0.100000001490116",371
"0-19","null","null","null","Benign/Borderline","null",38305772,"Female","Oligodendroglioma","2005-04-01 00:00:00","null","null","null",372
"0-19","0","0.100000001490116","0.100000001490116","Malignant","20",38305772,"Female","Oligodendroglioma","2005-04-01 00:00:00","0","0.100000001490116","0.100000001490116",373
"0-19","null","null","null","Benign/Borderline","null",38466303,"Female","Oligodendroglioma","2006-04-01 00:00:00","null","null","null",374
"0-19","0","0.100000001490116","0.100000001490116","Malignant","22",38466303,"Female","Oligodendroglioma","2006-04-01 00:00:00","0","0.100000001490116","0.100000001490116",375
"0-19","null","null","null","Benign/Borderline","null",39682297,"Female","Oligodendroglioma","2007-04-01 00:00:00","null","null","null",378
"0-19","0","0.100000001490116","0.100000001490116","Malignant","28",39682297,"Female","Oligodendroglioma","2007-04-01 00:00:00","0","0.100000001490116","0.100000001490116",379
"0-19","null","null","null","Benign/Borderline","null",39875033,"Female","Oligodendroglioma","2008-04-01 00:00:00","null","null","null",380
"0-19","0","0.100000001490116","0","Malignant","17",39875033,"Female","Oligodendroglioma","2008-04-01 00:00:00","0","0.100000001490116","0",381
"0-19","null","null","null","Benign/Borderline","null",39970215,"Female","Oligodendroglioma","2009-04-01 00:00:00","null","null","null",382
"0-19","null","null","null","Malignant","null",39970215,"Female","Oligodendroglioma","2009-04-01 00:00:00","null","null","null",383
"0-19","null","null","null","Benign/Borderline","null",39544072,"Female","Oligodendroglioma","2010-04-01 00:00:00","null","null","null",384
"0-19","0","0.100000001490116","0.100000001490116","Malignant","23",39544072,"Female","Oligodendroglioma","2010-04-01 00:00:00","0","0.100000001490116","0.100000001490116",385
"0-19","null","null","null","Benign/Borderline","null",38177564,"Female","Other mesenchymal","2004-04-01 00:00:00","null","null","null",386
"0-19","null","null","null","Malignant","null",38177564,"Female","Other mesenchymal","2004-04-01 00:00:00","null","null","null",387
"0-19","null","null","null","Benign/Borderline","null",38305772,"Female","Other mesenchymal","2005-04-01 00:00:00","null","null","null",388
"0-19","null","null","null","Malignant","null",38305772,"Female","Other mesenchymal","2005-04-01 00:00:00","null","null","null",389
"0-19","0","0.100000001490116","0","Benign/Borderline","16",38466303,"Female","Other mesenchymal","2006-04-01 00:00:00","0","0.100000001490116","0",390
"0-19","null","null","null","Malignant","null",38466303,"Female","Other mesenchymal","2006-04-01 00:00:00","null","null","null",391
"0-19","0","0.100000001490116","0","Benign/Borderline","16",39682297,"Female","Other mesenchymal","2007-04-01 00:00:00","0","0.100000001490116","0",394
"0-19","null","null","null","Malignant","null",39682297,"Female","Other mesenchymal","2007-04-01 00:00:00","null","null","null",395
"0-19","0","0.100000001490116","0","Benign/Borderline","16",39875033,"Female","Other mesenchymal","2008-04-01 00:00:00","0","0.100000001490116","0",396
"0-19","null","null","null","Malignant","null",39875033,"Female","Other mesenchymal","2008-04-01 00:00:00","null","null","null",397
"0-19","0","0.100000001490116","0.100000001490116","Benign/Borderline","21",39970215,"Female","Other mesenchymal","2009-04-01 00:00:00","0","0.100000001490116","0.100000001490116",398
"0-19","null","null","null","Malignant","null",39970215,"Female","Other mesenchymal","2009-04-01 00:00:00","null","null","null",399
"0-19","0","0.100000001490116","0","Benign/Borderline","18",39544072,"Female","Other mesenchymal","2010-04-01 00:00:00","0","0.100000001490116","0",400
"0-19","null","null","null","Malignant","null",39544072,"Female","Other mesenchymal","2010-04-01 00:00:00","null","null","null",401
"0-19","null","null","null","Benign/Borderline","null",38177564,"Female","Pilocytic astrocytoma","2004-04-01 00:00:00","null","null","null",402
"0-19","0.699999988079071","0.899999976158142","0.800000011920929","Malignant","312",38177564,"Female","Pilocytic astrocytoma","2004-04-01 00:00:00","0.699999988079071","0.899999976158142","0.800000011920929",403
"0-19","null","null","null","Benign/Borderline","null",38305772,"Female","Pilocytic astrocytoma","2005-04-01 00:00:00","null","null","null",404
"0-19","0.699999988079071","0.899999976158142","0.800000011920929","Malignant","299",38305772,"Female","Pilocytic astrocytoma","2005-04-01 00:00:00","0.699999988079071","0.899999976158142","0.800000011920929",405
"0-19","null","null","null","Benign/Borderline","null",38466303,"Female","Pilocytic astrocytoma","2006-04-01 00:00:00","null","null","null",406
"0-19","0.699999988079071","0.899999976158142","0.800000011920929","Malignant","293",38466303,"Female","Pilocytic astrocytoma","2006-04-01 00:00:00","0.699999988079071","0.899999976158142","0.800000011920929",407
"0-19","null","null","null","Benign/Borderline","null",39682297,"Female","Pilocytic astrocytoma","2007-04-01 00:00:00","null","null","null",410
"0-19","0.699999988079071","0.899999976158142","0.800000011920929","Malignant","320",39682297,"Female","Pilocytic astrocytoma","2007-04-01 00:00:00","0.699999988079071","0.899999976158142","0.800000011920929",411
"0-19","null","null","null","Benign/Borderline","null",39875033,"Female","Pilocytic astrocytoma","2008-04-01 00:00:00","null","null","null",412
"0-19","0.699999988079071","0.899999976158142","0.800000011920929","Malignant","310",39875033,"Female","Pilocytic astrocytoma","2008-04-01 00:00:00","0.699999988079071","0.899999976158142","0.800000011920929",413
"0-19","null","null","null","Benign/Borderline","null",39970215,"Female","Pilocytic astrocytoma","2009-04-01 00:00:00","null","null","null",414
"0-19","0.699999988079071","0.899999976158142","0.800000011920929","Malignant","317",39970215,"Female","Pilocytic astrocytoma","2009-04-01 00:00:00","0.699999988079071","0.899999976158142","0.800000011920929",415
"0-19","null","null","null","Benign/Borderline","null",39544072,"Female","Pilocytic astrocytoma","2010-04-01 00:00:00","null","null","null",416
"0-19","0.800000011920929","1","0.899999976158142","Malignant","345",39544072,"Female","Pilocytic astrocytoma","2010-04-01 00:00:00","0.800000011920929","1","0.899999976158142",417
"0-19","null","null","null","Benign/Borderline","null",38177564,"Female","Pineal parenchymal","2004-04-01 00:00:00","null","null","null",418
"0-19","null","null","null","Malignant","null",38177564,"Female","Pineal parenchymal","2004-04-01 00:00:00","null","null","null",419
"0-19","null","null","null","Benign/Borderline","null",38305772,"Female","Pineal parenchymal","2005-04-01 00:00:00","null","null","null",420
"0-19","null","null","null","Malignant","null",38305772,"Female","Pineal parenchymal","2005-04-01 00:00:00","null","null","null",421
